User:;Maciej
IndexName:;Wig20ClosingAndVolumeOnly
StartDate:;2015-01-18 15:22:13
CalculationTime:;06:17:28
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Jordan;0,75;0,75;1000;3~3~1;no PCA;Week;Day;Day;2508,41585299129;0,578488372093023;0,401162790697674;0,755813953488372;0,5;0,515320334261838
Elman;0,75;0,75;1000;3~3~1;no PCA;Week;Day;Day;1053,76025704642;0,5;0;1;0,5;0,50974930362117
MLP;1;0,75;1000;3~3~1;no PCA;Week;Day;Day;2159,83418208525;0,51453488372093;0,0755813953488372;0,953488372093023;0,5;0,530640668523677
Jordan;1;0,75;1000;3~3~1;no PCA;Week;Day;Day;3023,51025177051;0,572674418604651;0,383720930232558;0,761627906976744;0,5;0,497214484679666
Elman;1;0,75;1000;3~3~1;no PCA;Week;Day;Day;994,854906147693;0,5;0;1;0,5;0,525069637883008
MLP;0,25;0;1000;10~10~1;no PCA;Week;Day;Day;1026,01181554346;0,5;0;1;0,5;0,51949860724234
Jordan;0,25;0;1000;10~10~1;no PCA;Week;Day;Day;1026,09844894327;0,5;0;1;0,5;0,518105849582173
Elman;0,25;0;1000;10~10~1;no PCA;Week;Day;Day;1042,31574359332;0,5;0;1;0,5;0,530640668523677
MLP;0,5;0;1000;10~10~1;no PCA;Week;Day;Day;1039,37269211524;0,5;0;1;0,5;0,526462395543176
Jordan;0,5;0;1000;10~10~1;no PCA;Week;Day;Day;1025,66297126378;0,5;0;1;0,5;0,537604456824513
Elman;0,5;0;1000;10~10~1;no PCA;Week;Day;Day;1032,29408986644;0,578488372093023;0,819767441860465;0,337209302325581;0,5;0,533426183844011
MLP;0,75;0;1000;10~10~1;no PCA;Week;Day;Day;1022,10408030128;0,5;0;1;0,5;0,520891364902507
Jordan;0,75;0;1000;10~10~1;no PCA;Week;Day;Day;1018,3124809005;0,5;0;1;0,5;0,51949860724234
Elman;0,75;0;1000;10~10~1;no PCA;Week;Day;Day;1057,92558512961;0,505813953488372;0,0406976744186047;0,970930232558139;0,5;0,50974930362117
MLP;1;0;1000;10~10~1;no PCA;Week;Day;Day;1031,04711058879;0,5;0;1;0,5;0,527855153203343
Jordan;1;0;1000;10~10~1;no PCA;Week;Day;Day;1025,69381537537;0,5;0;1;0,5;0,532033426183844
Elman;1;0;1000;10~10~1;no PCA;Week;Day;Day;1093,31062647523;0,5;0;1;0,5;0,525069637883008
MLP;0,25;0,25;1000;10~10~1;no PCA;Week;Day;Day;974,041545748772;0,497093023255814;0;0,994186046511628;0,5;0,522284122562674
Jordan;0,25;0,25;1000;10~10~1;no PCA;Week;Day;Day;979,63763463022;0,502906976744186;0,0232558139534884;0,982558139534884;0,5;0,51949860724234
Elman;0,25;0,25;1000;10~10~1;no PCA;Week;Day;Day;985,424772713176;0,5;0,00581395348837209;0,994186046511628;0,5;0,522284122562674
MLP;0,5;0,25;1000;10~10~1;no PCA;Week;Day;Day;977,670917566493;0,5;0;1;0,5;0,527855153203343
Jordan;0,5;0,25;1000;10~10~1;no PCA;Week;Day;Day;978,020121538806;0,497093023255814;0;0,994186046511628;0,5;0,525069637883008
Elman;0,5;0,25;1000;10~10~1;no PCA;Week;Day;Day;992,53960459857;0,497093023255814;0,00581395348837209;0,988372093023256;0,5;0,50974930362117
MLP;0,75;0,25;1000;10~10~1;no PCA;Week;Day;Day;985,43905559421;0,5;0;1;0,5;0,540389972144847
Jordan;0,75;0,25;1000;10~10~1;no PCA;Week;Day;Day;974,13231608115;0,497093023255814;0;0,994186046511628;0,5;0,545961002785515
Elman;0,75;0,25;1000;10~10~1;no PCA;Week;Day;Day;991,250942828692;0,497093023255814;0;0,994186046511628;0,5;0,516713091922006
MLP;1;0,25;1000;10~10~1;no PCA;Week;Day;Day;987,092757635254;0,5;0;1;0,5;0,53899721448468
Jordan;1;0,25;1000;10~10~1;no PCA;Week;Day;Day;1014,81585678954;0,5;0;1;0,5;0,526462395543176
Elman;1;0,25;1000;10~10~1;no PCA;Week;Day;Day;1003,46553236977;0,5;0;1;0,5;0,50974930362117
MLP;0,25;0,5;1000;10~10~1;no PCA;Week;Day;Day;1170,81361982047;0,491279069767442;0,0406976744186047;0,941860465116279;0,5;0,518105849582173
Jordan;0,25;0,5;1000;10~10~1;no PCA;Week;Day;Day;1297,43037984784;0,502906976744186;0,00581395348837209;1;0,5;0,527855153203343
Elman;0,25;0,5;1000;10~10~1;no PCA;Week;Day;Day;1179,43991487094;0,540697674418605;0,75;0,331395348837209;0,5;0,534818941504178
MLP;0,5;0,5;1000;10~10~1;no PCA;Week;Day;Day;1229,91227933352;0,488372093023256;0;0,976744186046512;0,5;0,495821727019499
Jordan;0,5;0,5;1000;10~10~1;no PCA;Week;Day;Day;1284,27727386303;0,5;0;1;0,5;0,501392757660167
Elman;0,5;0,5;1000;10~10~1;no PCA;Week;Day;Day;1046,06253118802;0,534883720930233;0,517441860465116;0,552325581395349;0,5;0,536211699164345
MLP;0,75;0,5;1000;10~10~1;no PCA;Week;Day;Day;1185,22792876586;0,497093023255814;0,0116279069767442;0,982558139534884;0,5;0,508356545961003
Jordan;0,75;0,5;1000;10~10~1;no PCA;Week;Day;Day;1220,54000033169;0,505813953488372;0,273255813953488;0,738372093023256;0,5;0,532033426183844
Elman;0,75;0,5;1000;10~10~1;no PCA;Week;Day;Day;1013,39898142089;0,584302325581395;0,680232558139535;0,488372093023256;0,5;0,506963788300836
MLP;1;0,5;1000;10~10~1;no PCA;Week;Day;Day;1077,29214913173;0,491279069767442;0;0,982558139534884;0,5;0,506963788300836
Jordan;1;0,5;1000;10~10~1;no PCA;Week;Day;Day;1375,25906815328;0,5;0;1;0,5;0,502785515320334
Elman;1;0,5;1000;10~10~1;no PCA;Week;Day;Day;1023,8259492973;0,558139534883721;0,319767441860465;0,796511627906977;0,5;0,518105849582173
MLP;0,25;0,75;1000;10~10~1;no PCA;Week;Day;Day;3587,1552537723;0,5;0;1;0,5;0,526462395543176
Jordan;0,25;0,75;1000;10~10~1;no PCA;Week;Day;Day;3605,44860768129;0,5;0;1;0,5;0,502785515320334
Elman;0,25;0,75;1000;10~10~1;no PCA;Week;Day;Day;1803,80813653868;0,526162790697674;0,779069767441861;0,273255813953488;0,5;0,504178272980501
MLP;0,5;0,75;1000;10~10~1;no PCA;Week;Day;Day;2751,44449127149;0,534883720930233;0,406976744186047;0,662790697674419;0,5;0,513927576601671
Jordan;0,5;0,75;1000;10~10~1;no PCA;Week;Day;Day;2312,58654266313;0,5;0;1;0,5;0,522284122562674
Elman;0,5;0,75;1000;10~10~1;no PCA;Week;Day;Day;1274,48475158792;0,511627906976744;0,197674418604651;0,825581395348837;0,5;0,501392757660167
MLP;0,75;0,75;1000;10~10~1;no PCA;Week;Day;Day;1892,06614470005;0,5;0;1;0,5;0,536211699164345
Jordan;0,75;0,75;1000;10~10~1;no PCA;Week;Day;Day;2906,6488883947;0,5;0,0755813953488372;0,924418604651163;0,5;0,511142061281337
Elman;0,75;0,75;1000;10~10~1;no PCA;Week;Day;Day;1195,71744649153;0,488372093023256;0,0116279069767442;0,965116279069767;0,5;0,525069637883008
MLP;1;0,75;1000;10~10~1;no PCA;Week;Day;Day;2109,20443172971;0,5;0;1;0,5;0,491643454038997
Jordan;1;0,75;1000;10~10~1;no PCA;Week;Day;Day;1530,05024970088;0,51453488372093;0,22093023255814;0,808139534883721;0,5;0,516713091922006
Elman;1;0,75;1000;10~10~1;no PCA;Week;Day;Day;1113,02143241919;0,51453488372093;0,0348837209302326;0,994186046511628;0,5;0,513927576601671
MLP;0,25;0;1000;30~30~1;no PCA;Week;Day;Day;1026,47320525589;0,5;0;1;0,5;0,525069637883008
Jordan;0,25;0;1000;30~30~1;no PCA;Week;Day;Day;1031,28002689514;0,5;0;1;0,5;0,525069637883008
Elman;0,25;0;1000;30~30~1;no PCA;Week;Day;Day;1071,21623222506;0,51453488372093;0,0697674418604651;0,959302325581395;0,5;0,525069637883008
MLP;0,5;0;1000;30~30~1;no PCA;Week;Day;Day;1029,1534029573;0,5;0;1;0,5;0,532033426183844
Jordan;0,5;0;1000;30~30~1;no PCA;Week;Day;Day;1022,07220101553;0,5;0;1;0,5;0,530640668523677
Elman;0,5;0;1000;30~30~1;no PCA;Week;Day;Day;1086,44362600584;0,595930232558139;0,796511627906977;0,395348837209302;0,5;0,526462395543176
MLP;0,75;0;1000;30~30~1;no PCA;Week;Day;Day;1033,00720799429;0,5;0;1;0,5;0,526462395543176
Jordan;0,75;0;1000;30~30~1;no PCA;Week;Day;Day;1036,12213626514;0,497093023255814;0;0,994186046511628;0,5;0,526462395543176
Elman;0,75;0;1000;30~30~1;no PCA;Week;Day;Day;1094,72630663345;0,575581395348837;0,424418604651163;0,726744186046512;0,5;0,523676880222841
MLP;1;0;1000;30~30~1;no PCA;Week;Day;Day;1043,1158768639;0,497093023255814;0;0,994186046511628;0,5;0,532033426183844
Jordan;1;0;1000;30~30~1;no PCA;Week;Day;Day;1024,25494858239;0,5;0;1;0,5;0,534818941504178
Elman;1;0;1000;30~30~1;no PCA;Week;Day;Day;1212,95151249398;0,5;0;1;0,5;0,50974930362117
MLP;0,25;0,25;1000;30~30~1;no PCA;Week;Day;Day;989,281994653534;0,482558139534884;0,0697674418604651;0,895348837209302;0,5;0,515320334261838
Jordan;0,25;0,25;1000;30~30~1;no PCA;Week;Day;Day;1017,85021300096;0,48546511627907;0,13953488372093;0,831395348837209;0,5;0,502785515320334
Elman;0,25;0,25;1000;30~30~1;no PCA;Week;Day;Day;1048,39681688058;0,497093023255814;0,00581395348837209;0,988372093023256;0,5;0,522284122562674
MLP;0,5;0,25;1000;30~30~1;no PCA;Week;Day;Day;1003,59451245858;0,494186046511628;0,0755813953488372;0,912790697674419;0,5;0,526462395543176
Jordan;0,5;0,25;1000;30~30~1;no PCA;Week;Day;Day;995,137708981299;0,502906976744186;0,0116279069767442;0,994186046511628;0,5;0,515320334261838
Elman;0,5;0,25;1000;30~30~1;no PCA;Week;Day;Day;1028,29505968942;0,497093023255814;0;0,994186046511628;0,5;0,536211699164345
MLP;0,75;0,25;1000;30~30~1;no PCA;Week;Day;Day;989,484576215248;0,497093023255814;0;0,994186046511628;0,5;0,520891364902507
Jordan;0,75;0,25;1000;30~30~1;no PCA;Week;Day;Day;1001,1612599037;0,5;0;1;0,5;0,536211699164345
Elman;0,75;0,25;1000;30~30~1;no PCA;Week;Day;Day;1082,76099091699;0,5;0;1;0,5;0,52924791086351
MLP;1;0,25;1000;30~30~1;no PCA;Week;Day;Day;998,049041340919;0,5;0;1;0,5;0,52924791086351
Jordan;1;0,25;1000;30~30~1;no PCA;Week;Day;Day;1007,2135171733;0,5;0;1;0,5;0,52924791086351
Elman;1;0,25;1000;30~30~1;no PCA;Week;Day;Day;1080,02251400004;0,5;0;1;0,5;0,516713091922006
MLP;0,25;0,5;1000;30~30~1;no PCA;Week;Day;Day;2040,86613942254;0,48546511627907;0;0,970930232558139;0,5;0,502785515320334
Jordan;0,25;0,5;1000;30~30~1;no PCA;Week;Day;Day;1347,68655430548;0,491279069767442;0,00581395348837209;0,976744186046512;0,5;0,51949860724234
Elman;0,25;0,5;1000;30~30~1;no PCA;Week;Day;Day;1533,00724832556;0,511627906976744;0,0581395348837209;0,965116279069767;0,5;0,513927576601671
MLP;0,5;0,5;1000;30~30~1;no PCA;Week;Day;Day;1155,41346015576;0,5;0;1;0,5;0,526462395543176
Jordan;0,5;0,5;1000;30~30~1;no PCA;Week;Day;Day;1417,59249421639;0,5;0;1;0,5;0,523676880222841
Elman;0,5;0,5;1000;30~30~1;no PCA;Week;Day;Day;1240,4533184706;0,491279069767442;0,0348837209302326;0,947674418604651;0,5;0,515320334261838
MLP;0,75;0,5;1000;30~30~1;no PCA;Week;Day;Day;1209,4144423387;0,5;0;1;0,5;0,501392757660167
Jordan;0,75;0,5;1000;30~30~1;no PCA;Week;Day;Day;1465,9594941322;0,5;0;1;0,5;0,523676880222841
Elman;0,75;0,5;1000;30~30~1;no PCA;Week;Day;Day;1193,06588783243;0,494186046511628;0,0465116279069767;0,941860465116279;0,5;0,536211699164345
MLP;1;0,5;1000;30~30~1;no PCA;Week;Day;Day;1232,79026374662;0,5;0;1;0,5;0,520891364902507
Jordan;1;0,5;1000;30~30~1;no PCA;Week;Day;Day;1316,17889501415;0,5;0;1;0,5;0,501392757660167
Elman;1;0,5;1000;30~30~1;no PCA;Week;Day;Day;1209,01273822591;0,540697674418605;0,331395348837209;0,75;0,5;0,536211699164345
MLP;0,25;0,75;1000;30~30~1;no PCA;Week;Day;Day;2523,20506703959;0,5;0;1;0,5;0,554317548746518
Jordan;0,25;0,75;1000;30~30~1;no PCA;Week;Day;Day;3304,93182489201;0,497093023255814;0;0,994186046511628;0,5;0,544568245125348
Elman;0,25;0,75;1000;30~30~1;no PCA;Week;Day;Day;2722,82270634181;0,5;0;1;0,5;0,518105849582173
MLP;0,5;0,75;1000;30~30~1;no PCA;Week;Day;Day;2151,13353354227;0,5;0;1;0,5;0,53899721448468
Jordan;0,5;0,75;1000;30~30~1;no PCA;Week;Day;Day;2408,70365107638;0,497093023255814;0;0,994186046511628;0,5;0,537604456824513
Elman;0,5;0,75;1000;30~30~1;no PCA;Week;Day;Day;2038,33760334461;0,48546511627907;0,116279069767442;0,854651162790698;0,5;0,506963788300836
MLP;0,75;0,75;1000;30~30~1;no PCA;Week;Day;Day;1786,48128694507;0,502906976744186;0,00581395348837209;1;0,5;0,512534818941504
Jordan;0,75;0,75;1000;30~30~1;no PCA;Week;Day;Day;2246,11570028295;0,502906976744186;0,00581395348837209;1;0,5;0,526462395543176
Elman;0,75;0,75;1000;30~30~1;no PCA;Week;Day;Day;2442,14139919115;0,607558139534884;0,755813953488372;0,459302325581395;0,5;0,505571030640669
MLP;1;0,75;1000;30~30~1;no PCA;Week;Day;Day;1870,17152641586;0,5;0;1;0,5;0,530640668523677
Jordan;1;0,75;1000;30~30~1;no PCA;Week;Day;Day;1846,47689568325;0,497093023255814;0,552325581395349;0,441860465116279;0,5;0,505571030640669
Elman;1;0,75;1000;30~30~1;no PCA;Week;Day;Day;1972,32061640338;0,523255813953488;0,162790697674419;0,883720930232558;0,5;0,501392757660167
MLP;0,25;0;1000;3~1;no PCA;Week;Day;Day;1032,16748952818;0,5;0;1;0,5;0,512534818941504
Jordan;0,25;0;1000;3~1;no PCA;Week;Day;Day;1003,25996292894;0,5;0;1;0,5;0,527855153203343
Elman;0,25;0;1000;3~1;no PCA;Week;Day;Day;1037,23738086834;0,5;0;1;0,5;0,516713091922006
MLP;0,5;0;1000;3~1;no PCA;Week;Day;Day;1023,08591353473;0,5;0;1;0,5;0,536211699164345
Jordan;0,5;0;1000;3~1;no PCA;Week;Day;Day;1005,25231895628;0,5;0;1;0,5;0,522284122562674
Elman;0,5;0;1000;3~1;no PCA;Week;Day;Day;1005,38400971052;0,5;0;1;0,5;0,522284122562674
MLP;0,75;0;1000;3~1;no PCA;Week;Day;Day;1017,29069814251;0,5;0;1;0,5;0,526462395543176
Jordan;0,75;0;1000;3~1;no PCA;Week;Day;Day;1017,26883711804;0,5;0;1;0,5;0,534818941504178
Elman;0,75;0;1000;3~1;no PCA;Week;Day;Day;1035,01156922491;0,5;0;1;0,5;0,532033426183844
MLP;1;0;1000;3~1;no PCA;Week;Day;Day;1032,93491497988;0,5;0;1;0,5;0,545961002785515
Jordan;1;0;1000;3~1;no PCA;Week;Day;Day;1032,55688802594;0,5;0;1;0,5;0,523676880222841
Elman;1;0;1000;3~1;no PCA;Week;Day;Day;1055,65437756182;0,459302325581395;0,651162790697674;0,267441860465116;0,5;0,52924791086351
MLP;0,25;0,25;1000;3~1;no PCA;Week;Day;Day;970,862502091203;0,497093023255814;0,00581395348837209;0,988372093023256;0,5;0,533426183844011
Jordan;0,25;0,25;1000;3~1;no PCA;Week;Day;Day;978,119183125812;0,502906976744186;0,0116279069767442;0,994186046511628;0,5;0,522284122562674
Elman;0,25;0,25;1000;3~1;no PCA;Week;Day;Day;965,176650041307;0,502906976744186;0,0116279069767442;0,994186046511628;0,5;0,530640668523677
MLP;0,5;0,25;1000;3~1;no PCA;Week;Day;Day;1004,77317764993;0,5;0;1;0,5;0,540389972144847
Jordan;0,5;0,25;1000;3~1;no PCA;Week;Day;Day;977,220802398898;0,5;0;1;0,5;0,520891364902507
Elman;0,5;0,25;1000;3~1;no PCA;Week;Day;Day;984,390582478777;0,5;0;1;0,5;0,513927576601671
MLP;0,75;0,25;1000;3~1;no PCA;Week;Day;Day;1049,37104657976;0,5;0;1;0,5;0,516713091922006
Jordan;0,75;0,25;1000;3~1;no PCA;Week;Day;Day;987,516506879733;0,5;0;1;0,5;0,523676880222841
Elman;0,75;0,25;1000;3~1;no PCA;Week;Day;Day;994,939595795791;0,5;0;1;0,5;0,52924791086351
MLP;1;0,25;1000;3~1;no PCA;Week;Day;Day;1007,04158237207;0,5;0;1;0,5;0,530640668523677
Jordan;1;0,25;1000;3~1;no PCA;Week;Day;Day;1001,74937404201;0,5;0;1;0,5;0,518105849582173
Elman;1;0,25;1000;3~1;no PCA;Week;Day;Day;1005,26050478406;0,5;0;1;0,5;0,516713091922006
MLP;0,25;0,5;1000;3~1;no PCA;Week;Day;Day;1003,45122716269;0,456395348837209;0,0755813953488372;0,837209302325581;0,5;0,508356545961003
Jordan;0,25;0,5;1000;3~1;no PCA;Week;Day;Day;997,300517084941;0,473837209302326;0,0406976744186047;0,906976744186046;0,5;0,5
Elman;0,25;0,5;1000;3~1;no PCA;Week;Day;Day;989,010840861141;0,546511627906977;0,424418604651163;0,668604651162791;0,5;0,506963788300836
MLP;0,5;0,5;1000;3~1;no PCA;Week;Day;Day;971,967582086766;0,502906976744186;0,209302325581395;0,796511627906977;0,5;0,520891364902507
Jordan;0,5;0,5;1000;3~1;no PCA;Week;Day;Day;972,690690360358;0,497093023255814;0,0116279069767442;0,982558139534884;0,5;0,516713091922006
Elman;0,5;0,5;1000;3~1;no PCA;Week;Day;Day;977,071870376847;0,497093023255814;0,0348837209302326;0,959302325581395;0,5;0,515320334261838
MLP;0,75;0,5;1000;3~1;no PCA;Week;Day;Day;973,199859893279;0,502906976744186;0,00581395348837209;1;0,5;0,51949860724234
Jordan;0,75;0,5;1000;3~1;no PCA;Week;Day;Day;986,270648130392;0,5;0,0174418604651163;0,982558139534884;0,5;0,526462395543176
Elman;0,75;0,5;1000;3~1;no PCA;Week;Day;Day;980,287235142918;0,5;0;1;0,5;0,526462395543176
MLP;1;0,5;1000;3~1;no PCA;Week;Day;Day;981,770633950667;0,5;0;1;0,5;0,520891364902507
Jordan;1;0,5;1000;3~1;no PCA;Week;Day;Day;991,438693394761;0,502906976744186;0,00581395348837209;1;0,5;0,516713091922006
Elman;1;0,5;1000;3~1;no PCA;Week;Day;Day;987,84919527202;0,5;0;1;0,5;0,512534818941504
MLP;0,25;0,75;1000;3~1;no PCA;Week;Day;Day;1181,93237436665;0,497093023255814;0;0,994186046511628;0,5;0,497214484679666
Jordan;0,25;0,75;1000;3~1;no PCA;Week;Day;Day;1206,96650245249;0,491279069767442;0,0523255813953488;0,930232558139535;0,5;0,502785515320334
Elman;0,25;0,75;1000;3~1;no PCA;Week;Day;Day;1145,60015259512;0,479651162790698;0,104651162790698;0,854651162790698;0,5;0,502785515320334
MLP;0,5;0,75;1000;3~1;no PCA;Week;Day;Day;1068,36008111588;0,494186046511628;0,0813953488372093;0,906976744186046;0,5;0,505571030640669
Jordan;0,5;0,75;1000;3~1;no PCA;Week;Day;Day;1097,70753919873;0,497093023255814;0,0406976744186047;0,953488372093023;0,5;0,502785515320334
Elman;0,5;0,75;1000;3~1;no PCA;Week;Day;Day;1078,05833331582;0,491279069767442;0,116279069767442;0,866279069767442;0,5;0,505571030640669
MLP;0,75;0,75;1000;3~1;no PCA;Week;Day;Day;1034,29040541362;0,497093023255814;0,0523255813953488;0,941860465116279;0,5;0,515320334261838
Jordan;0,75;0,75;1000;3~1;no PCA;Week;Day;Day;1002,10202342543;0,497093023255814;0;0,994186046511628;0,5;0,513927576601671
Elman;0,75;0,75;1000;3~1;no PCA;Week;Day;Day;1052,56658116963;0,491279069767442;0,0406976744186047;0,941860465116279;0,5;0,518105849582173
MLP;1;0,75;1000;3~1;no PCA;Week;Day;Day;1034,4971513835;0,497093023255814;0,0174418604651163;0,976744186046512;0,5;0,523676880222841
Jordan;1;0,75;1000;3~1;no PCA;Week;Day;Day;1053,05299325784;0,505813953488372;0,0174418604651163;0,994186046511628;0,5;0,512534818941504
Elman;1;0,75;1000;3~1;no PCA;Week;Day;Day;1044,37150369356;0,5;0,0116279069767442;0,988372093023256;0,5;0,513927576601671
MLP;0,25;0;1000;10~1;no PCA;Week;Day;Day;1071,79478079779;0,5;0;1;0,5;0,506963788300836
Jordan;0,25;0;1000;10~1;no PCA;Week;Day;Day;1018,31263697836;0,5;0;1;0,5;0,51949860724234
Elman;0,25;0;1000;10~1;no PCA;Week;Day;Day;1029,97840717488;0,5;0;1;0,5;0,511142061281337
MLP;0,5;0;1000;10~1;no PCA;Week;Day;Day;1024,47261903314;0,5;0;1;0,5;0,51949860724234
