User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-26 22:50:28
CalculationTime:;03:11:18
TestCasesNumber:;2
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;1;1000;3~1;no PCA;Week;Day;Day;1157,10393069533;0,550872093023256;0,732558139534884;0,369186046511628;0,5;0,506267409470752
Elman;0,25;1;1000;3~1;no PCA;Week;Day;Day;1159,76839243869;0,540697674418605;0,709302325581395;0,372093023255814;0,5;0,49025069637883
Jordan;0,25;1;1000;3~1;no PCA;Week;Day;Day;1440,40436908775;0,555232558139535;0,744186046511628;0,366279069767442;0,5;0,489554317548747
MLP;0,5;1;1000;3~1;no PCA;Week;Day;Day;1122,83706232962;0,575581395348837;0,590116279069767;0,561046511627907;0,5;0,499303621169916
Elman;0,5;1;1000;3~1;no PCA;Week;Day;Day;1082,56089212089;0,537790697674419;0,569767441860465;0,505813953488372;0,5;0,506963788300836
Jordan;0,5;1;1000;3~1;no PCA;Week;Day;Day;1195,2011530259;0,569767441860465;0,598837209302326;0,540697674418605;0,5;0,497910863509749
MLP;0,75;1;1000;3~1;no PCA;Week;Day;Day;1187,34725421337;0,521802325581395;0,267441860465116;0,776162790697674;0,5;0,497910863509749
Elman;0,75;1;1000;3~1;no PCA;Week;Day;Day;1041,34683268122;0,5625;0,476744186046512;0,648255813953488;0,5;0,506963788300836
Jordan;0,75;1;1000;3~1;no PCA;Week;Day;Day;1263,21296490089;0,558139534883721;0,505813953488372;0,61046511627907;0,5;0,493732590529248
MLP;1;1;1000;3~1;no PCA;Week;Day;Day;1087,43282630167;0,558139534883721;0,430232558139535;0,686046511627907;0,5;0,515320334261838
