User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-20 00:01:13
CalculationTime:;05:27:58
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;996,773149956729;0,543604651162791;0,267441860465116;0,819767441860465;0,5;0,526462395543176
Jordan;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;1004,75039240718;0,552325581395349;0,273255813953488;0,831395348837209;0,5;0,534818941504178
Elman;0,25;0;1000;3~3~1;no PCA;Week;Day;Day;1030,92226477662;0,561046511627907;0,308139534883721;0,813953488372093;0,5;0,526462395543176
MLP;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1040,36351544228;0,552325581395349;0,290697674418605;0,813953488372093;0,5;0,520891364902507
Jordan;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1038,87621150966;0,563953488372093;0,337209302325581;0,790697674418605;0,5;0,53899721448468
Elman;0,5;0;1000;3~3~1;no PCA;Week;Day;Day;1064,5775525751;0,552325581395349;0,302325581395349;0,802325581395349;0,5;0,511142061281337
MLP;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1031,10017531625;0,566860465116279;0,331395348837209;0,802325581395349;0,5;0,523676880222841
Jordan;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1162,17246783434;0,561046511627907;0,337209302325581;0,784883720930233;0,5;0,5
Elman;0,75;0;1000;3~3~1;no PCA;Week;Day;Day;1579,19338708939;0,505813953488372;0,441860465116279;0,569767441860465;0,5;0,530640668523677
MLP;1;0;1000;3~3~1;no PCA;Week;Day;Day;1216,03748607525;0,555232558139535;0,348837209302326;0,761627906976744;0,5;0,498607242339833
Jordan;1;0;1000;3~3~1;no PCA;Week;Day;Day;1082,24584233091;0,558139534883721;0,366279069767442;0,75;0,5;0,506963788300836
