User:;komputer
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 08:42:17
CalculationTime:;03:37:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0632520991801619
Jordan;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0640508945009664
Elman;0,4;0;100;2~1;no PCA;Day;Day;Day;0,0629747679965815
MLP;0,4;0;500;2~1;no PCA;Day;Day;Day;0,00235387873808236
Jordan;0,4;0;500;2~1;no PCA;Day;Day;Day;0,00214557187788074
Elman;0,4;0;500;2~1;no PCA;Day;Day;Day;0,0021431936646794
MLP;0,4;0;1000;2~1;no PCA;Day;Day;Day;0,00190943156559344
Jordan;0,4;0;1000;2~1;no PCA;Day;Day;Day;0,00183802391419299
Elman;0,4;0;1000;2~1;no PCA;Day;Day;Day;0,00183781736848923
MLP;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0605861685320479
Jordan;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0612603193651175
Elman;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0612454097151667
MLP;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00218451414889039
Jordan;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00212732698955892
Elman;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00211845265484767
MLP;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00208292836898806
Jordan;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00198750003666804
Elman;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00203124479098992
MLP;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0548859319362151
Jordan;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0543124829406794
Elman;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0546099298189809
MLP;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00227089054290758
Jordan;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00224846089165719
Elman;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00228394715086547
MLP;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,00230101631135444
Jordan;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,00223713465650083
Elman;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,00218591579412118
MLP;0,4;0;100;10~1;no PCA;Day;Day;Day;0,0404195141413471
Jordan;0,4;0;100;10~1;no PCA;Day;Day;Day;0,0408593667195357
Elman;0,4;0;100;10~1;no PCA;Day;Day;Day;0,043461104442238
MLP;0,4;0;500;10~1;no PCA;Day;Day;Day;0,00240413628354087
Jordan;0,4;0;500;10~1;no PCA;Day;Day;Day;0,0023853406225318
Elman;0,4;0;500;10~1;no PCA;Day;Day;Day;0,00260886851858259
MLP;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00252481011308176
Jordan;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00252148339025902
Elman;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00256884648222624
MLP;0,4;0;100;30~1;no PCA;Day;Day;Day;0,01393725689402
Jordan;0,4;0;100;30~1;no PCA;Day;Day;Day;0,014616843515536
Elman;0,4;0;100;30~1;no PCA;Day;Day;Day;0,0278343060328002
MLP;0,4;0;500;30~1;no PCA;Day;Day;Day;0,00257764325260569
Jordan;0,4;0;500;30~1;no PCA;Day;Day;Day;0,00261499915522735
Elman;0,4;0;500;30~1;no PCA;Day;Day;Day;0,00365467617859862
MLP;0,4;0;1000;30~1;no PCA;Day;Day;Day;0,00268719002678039
Jordan;0,4;0;1000;30~1;no PCA;Day;Day;Day;0,00275799180821178
Elman;0,4;0;1000;30~1;no PCA;Day;Day;Day;0,00328244521022653
MLP;0,4;0;100;60~1;no PCA;Day;Day;Day;0,00550918011361401
Jordan;0,4;0;100;60~1;no PCA;Day;Day;Day;0,00561174929397836
Elman;0,4;0;100;60~1;no PCA;Day;Day;Day;0,0328324388217688
MLP;0,4;0;500;60~1;no PCA;Day;Day;Day;0,00281655721079535
Jordan;0,4;0;500;60~1;no PCA;Day;Day;Day;0,00288004671196081
Elman;0,4;0;500;60~1;no PCA;Day;Day;Day;0,00484144324790025
MLP;0,4;0;1000;60~1;no PCA;Day;Day;Day;0,0028690278986313
Jordan;0,4;0;1000;60~1;no PCA;Day;Day;Day;0,00293844902518839
Elman;0,4;0;1000;60~1;no PCA;Day;Day;Day;0,00405547557548172
MLP;0,4;0;100;100~1;no PCA;Day;Day;Day;0,00376878196875657
Jordan;0,4;0;100;100~1;no PCA;Day;Day;Day;0,00386095940430134
Elman;0,4;0;100;100~1;no PCA;Day;Day;Day;0,0782646813259112
MLP;0,4;0;500;100~1;no PCA;Day;Day;Day;0,00324410590630985
Jordan;0,4;0;500;100~1;no PCA;Day;Day;Day;0,003314155090882
Elman;0,4;0;500;100~1;no PCA;Day;Day;Day;0,00598968542935555
MLP;0,4;0;1000;100~1;no PCA;Day;Day;Day;0,00323092620869666
Jordan;0,4;0;1000;100~1;no PCA;Day;Day;Day;0,00329884982795507
Elman;0,4;0;1000;100~1;no PCA;Day;Day;Day;0,00512418757796327
MLP;0,4;0;100;2~2~1;no PCA;Day;Day;Day;0,0719675239865909
Jordan;0,4;0;100;2~2~1;no PCA;Day;Day;Day;0,0718884881628132
Elman;0,4;0;100;2~2~1;no PCA;Day;Day;Day;0,0719397651132578
MLP;0,4;0;500;2~2~1;no PCA;Day;Day;Day;0,0271494544272146
Jordan;0,4;0;500;2~2~1;no PCA;Day;Day;Day;0,0266324804154562
Elman;0,4;0;500;2~2~1;no PCA;Day;Day;Day;0,0259330488743358
MLP;0,4;0;1000;2~2~1;no PCA;Day;Day;Day;0,00434151214584723
Jordan;0,4;0;1000;2~2~1;no PCA;Day;Day;Day;0,0036281158419931
Elman;0,4;0;1000;2~2~1;no PCA;Day;Day;Day;0,00242701433265001
MLP;0,4;0;100;3~1;no PCA;Day;Day;Day;0,061257098232448
Jordan;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0590725424829813
Elman;0,4;0;100;3~1;no PCA;Day;Day;Day;0,060133487408703
MLP;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00218572740884843
Jordan;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00212806819079062
Elman;0,4;0;500;3~1;no PCA;Day;Day;Day;0,00215131210473241
MLP;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00209392521558543
Jordan;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00200024639990946
Elman;0,4;0;1000;3~1;no PCA;Day;Day;Day;0,00202316757290926
MLP;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0534949856429628
Jordan;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0532296670738491
Elman;0,4;0;100;5~1;no PCA;Day;Day;Day;0,0551448935878267
MLP;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00226514064553611
Jordan;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00221879597109105
Elman;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00226781922254369
MLP;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,0022916354059054
Jordan;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,00227266725794642
Elman;0,4;0;1000;5~1;no PCA;Day;Day;Day;0,00219629979281824
MLP;0,4;0;100;10~1;no PCA;Day;Day;Day;0,0388319332025252
Jordan;0,4;0;100;10~1;no PCA;Day;Day;Day;0,0405684666588545
Elman;0,4;0;100;10~1;no PCA;Day;Day;Day;0,04395432336318
MLP;0,4;0;500;10~1;no PCA;Day;Day;Day;0,00238581389485115
Jordan;0,4;0;500;10~1;no PCA;Day;Day;Day;0,00238561064226957
Elman;0,4;0;500;10~1;no PCA;Day;Day;Day;0,00261667734590697
MLP;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00252804097889263
Jordan;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00250359115763561
Elman;0,4;0;1000;10~1;no PCA;Day;Day;Day;0,00260072983328493
MLP;0,4;0;100;30~1;no PCA;Day;Day;Day;0,0142998250420436
Jordan;0,4;0;100;30~1;no PCA;Day;Day;Day;0,0138378154232843
Elman;0,4;0;100;30~1;no PCA;Day;Day;Day;0,0292722716079334
