User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:26:21
CalculationTime:;02:07:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
Jordan;0,2;0,8;100;2~1;no PCA;Day;Day;Day;0,115954763929046
Elman;0,2;0,8;100;2~1;no PCA;Day;Day;Day;0,115240975153172
MLP;0,4;0,8;100;2~1;no PCA;Day;Day;Day;0,114497065148816
Jordan;0,4;0,8;100;2~1;no PCA;Day;Day;Day;0,113737111831357
Elman;0,4;0,8;100;2~1;no PCA;Day;Day;Day;0,113434553785096
MLP;0,6;0,8;100;2~1;no PCA;Day;Day;Day;0,114490368807304
Jordan;0,6;0,8;100;2~1;no PCA;Day;Day;Day;0,114148201635759
Elman;0,6;0,8;100;2~1;no PCA;Day;Day;Day;0,113998582528985
MLP;0,8;0,8;100;2~1;no PCA;Day;Day;Day;0,11529194842369
Jordan;0,8;0,8;100;2~1;no PCA;Day;Day;Day;0,115210105958565
Elman;0,8;0,8;100;2~1;no PCA;Day;Day;Day;0,115151016939779
MLP;1;0,8;100;2~1;no PCA;Day;Day;Day;0,116544212909424
Jordan;1;0,8;100;2~1;no PCA;Day;Day;Day;0,116585736350052
Elman;1;0,8;100;2~1;no PCA;Day;Day;Day;0,116519193905255
MLP;0;1;100;2~1;no PCA;Day;Day;Day;0,229278358978279
Jordan;0;1;100;2~1;no PCA;Day;Day;Day;0,224073029356869
Elman;0;1;100;2~1;no PCA;Day;Day;Day;0,219241121708473
MLP;0,2;1;100;2~1;no PCA;Day;Day;Day;0,132866430878966
Jordan;0,2;1;100;2~1;no PCA;Day;Day;Day;0,130235408522818
Elman;0,2;1;100;2~1;no PCA;Day;Day;Day;0,129648254362621
MLP;0,4;1;100;2~1;no PCA;Day;Day;Day;0,129445762864351
Jordan;0,4;1;100;2~1;no PCA;Day;Day;Day;0,128326775748431
Elman;0,4;1;100;2~1;no PCA;Day;Day;Day;0,128077575661101
MLP;0,6;1;100;2~1;no PCA;Day;Day;Day;0,129653588358949
Jordan;0,6;1;100;2~1;no PCA;Day;Day;Day;0,12902082164897
Elman;0,6;1;100;2~1;no PCA;Day;Day;Day;0,128870579787983
MLP;0,8;1;100;2~1;no PCA;Day;Day;Day;0,130772308022859
Jordan;0,8;1;100;2~1;no PCA;Day;Day;Day;0,13038454595791
Elman;0,8;1;100;2~1;no PCA;Day;Day;Day;0,130262836246571
MLP;1;1;100;2~1;no PCA;Day;Day;Day;0,13228243312343
Jordan;1;1;100;2~1;no PCA;Day;Day;Day;0,132008685537298
Elman;1;1;100;2~1;no PCA;Day;Day;Day;0,131914520275056
MLP;0;0;500;2~1;no PCA;Day;Day;Day;0,0792453716402697
Jordan;0;0;500;2~1;no PCA;Day;Day;Day;0,0795929560491479
Elman;0;0;500;2~1;no PCA;Day;Day;Day;0,0775043562487697
MLP;0,2;0;500;2~1;no PCA;Day;Day;Day;0,0187207195375238
Jordan;0,2;0;500;2~1;no PCA;Day;Day;Day;0,0164246591166322
Elman;0,2;0;500;2~1;no PCA;Day;Day;Day;0,0174504562594852
MLP;0,4;0;500;2~1;no PCA;Day;Day;Day;0,00215139389406566
Jordan;0,4;0;500;2~1;no PCA;Day;Day;Day;0,00208948286479422
Elman;0,4;0;500;2~1;no PCA;Day;Day;Day;0,0021506955501954
MLP;0,6;0;500;2~1;no PCA;Day;Day;Day;0,00206461884667311
Jordan;0,6;0;500;2~1;no PCA;Day;Day;Day;0,00201817800715949
Elman;0,6;0;500;2~1;no PCA;Day;Day;Day;0,00205095934582172
MLP;0,8;0;500;2~1;no PCA;Day;Day;Day;0,00210684732750341
Jordan;0,8;0;500;2~1;no PCA;Day;Day;Day;0,00197039207018011
Elman;0,8;0;500;2~1;no PCA;Day;Day;Day;0,00199395828079616
MLP;1;0;500;2~1;no PCA;Day;Day;Day;0,00208403189660269
Jordan;1;0;500;2~1;no PCA;Day;Day;Day;0,00202222019365418
Elman;1;0;500;2~1;no PCA;Day;Day;Day;0,0020770909054588
MLP;0;0,2;500;2~1;no PCA;Day;Day;Day;0,0956407519145466
Jordan;0;0,2;500;2~1;no PCA;Day;Day;Day;0,0949358699571771
Elman;0;0,2;500;2~1;no PCA;Day;Day;Day;0,0967984725482447
MLP;0,2;0,2;500;2~1;no PCA;Day;Day;Day;0,0276715014342857
Jordan;0,2;0,2;500;2~1;no PCA;Day;Day;Day;0,0332749470034907
Elman;0,2;0,2;500;2~1;no PCA;Day;Day;Day;0,0433249079943753
MLP;0,4;0,2;500;2~1;no PCA;Day;Day;Day;0,00325896599896377
Jordan;0,4;0,2;500;2~1;no PCA;Day;Day;Day;0,0063783039521619
Elman;0,4;0,2;500;2~1;no PCA;Day;Day;Day;0,00782344622285346
MLP;0,6;0,2;500;2~1;no PCA;Day;Day;Day;0,00233532727636215
Jordan;0,6;0,2;500;2~1;no PCA;Day;Day;Day;0,00386774988181032
Elman;0,6;0,2;500;2~1;no PCA;Day;Day;Day;0,00463004022863838
MLP;0,8;0,2;500;2~1;no PCA;Day;Day;Day;0,0022364197408858
Jordan;0,8;0,2;500;2~1;no PCA;Day;Day;Day;0,00228815420869963
Elman;0,8;0,2;500;2~1;no PCA;Day;Day;Day;0,00231989472479713
MLP;1;0,2;500;2~1;no PCA;Day;Day;Day;0,00225470456656043
Jordan;1;0,2;500;2~1;no PCA;Day;Day;Day;0,00309525033738307
Elman;1;0,2;500;2~1;no PCA;Day;Day;Day;0,00225028147071612
MLP;0;0,4;500;2~1;no PCA;Day;Day;Day;0,116543671290842
Jordan;0;0,4;500;2~1;no PCA;Day;Day;Day;0,114685032615134
Elman;0;0,4;500;2~1;no PCA;Day;Day;Day;0,114511294959003
MLP;0,2;0,4;500;2~1;no PCA;Day;Day;Day;0,0645154791627857
Jordan;0,2;0,4;500;2~1;no PCA;Day;Day;Day;0,0806543671084647
Elman;0,2;0,4;500;2~1;no PCA;Day;Day;Day;0,0859196200558259
MLP;0,4;0,4;500;2~1;no PCA;Day;Day;Day;0,011117087988086
Jordan;0,4;0,4;500;2~1;no PCA;Day;Day;Day;0,0414953546316018
Elman;0,4;0,4;500;2~1;no PCA;Day;Day;Day;0,0631690070092804
MLP;0,6;0,4;500;2~1;no PCA;Day;Day;Day;0,00456915485255608
Jordan;0,6;0,4;500;2~1;no PCA;Day;Day;Day;0,0275851020949076
Elman;0,6;0,4;500;2~1;no PCA;Day;Day;Day;0,039895139643565
MLP;0,8;0,4;500;2~1;no PCA;Day;Day;Day;0,0052051174949818
Jordan;0,8;0,4;500;2~1;no PCA;Day;Day;Day;0,0203649474190454
Elman;0,8;0,4;500;2~1;no PCA;Day;Day;Day;0,0296716616650404
MLP;1;0,4;500;2~1;no PCA;Day;Day;Day;0,00494934756232516
