User:;komputer
IndexName:;WIG20Matkil
StartDate:;2015-01-27 21:54:28
CalculationTime:;09:10:07
TestCasesNumber:;3
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;595,391914838401;0,52465483234714;0,815476190476191;0,237254901960784;0,502958579881657;0,675637393767705
Jordan;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;590,243672792905;0,530571992110454;0,595238095238095;0,466666666666667;0,502958579881657;0,672804532577904
Elman;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;399,673615694007;0,552268244575937;0,511904761904762;0,592156862745098;0,502958579881657;0,736543909348442
MLP;1;0;5000;30~30~1;no PCA;Day;Day;Day;550,987466976504;0,487179487179487;0,529761904761905;0,445098039215686;0,502958579881657;0,696883852691218
Jordan;1;0;5000;30~30~1;no PCA;Day;Day;Day;567,373232574713;0,512820512820513;0,746031746031746;0,282352941176471;0,502958579881657;0,687440982058546
Elman;1;0;5000;30~30~1;no PCA;Day;Day;Day;376,733874358625;0,538461538461538;0,674603174603175;0,403921568627451;0,502958579881657;0,758262511803588
MLP;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;736,039635805199;0,507889546351085;0,384920634920635;0,629411764705882;0,502958579881657;0,644003777148253
Jordan;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;719,868403725725;0,528599605522682;0,444444444444444;0,611764705882353;0,502958579881657;0,661473087818697
Elman;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;726,903823145584;0,539447731755424;0,93452380952381;0,149019607843137;0,502958579881657;0,635977337110482
MLP;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;698,518502303125;0,54930966469428;0,656746031746032;0,443137254901961;0,502958579881657;0,6671388101983
Jordan;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;674,29198197728;0,527613412228797;0,450396825396825;0,603921568627451;0,502958579881657;0,668083097261568
Elman;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;739,512876185387;0,535502958579882;0,892857142857143;0,182352941176471;0,502958579881657;0,635977337110482
MLP;0,75;0;5000;10~10~1;no PCA;Day;Day;Day;713,084596036126;0,503944773175542;0,595238095238095;0,413725490196078;0,502958579881657;0,652974504249292
Jordan;0,75;0;5000;10~10~1;no PCA;Day;Day;Day;729,147640490885;0,539447731755424;0,742063492063492;0,33921568627451;0,502958579881657;0,635977337110482
Elman;0,75;0;5000;10~10~1;no PCA;Day;Day;Day;662,788864624196;0,526627218934911;0,847222222222222;0,209803921568627;0,502958579881657;0,664305949008499
MLP;1;0;5000;10~10~1;no PCA;Day;Day;Day;680,0609306344;0,539447731755424;0,676587301587302;0,403921568627451;0,502958579881657;0,665250236071766
Jordan;1;0;5000;10~10~1;no PCA;Day;Day;Day;692,97763472423;0,539447731755424;0,738095238095238;0,343137254901961;0,502958579881657;0,652974504249292
Elman;1;0;5000;10~10~1;no PCA;Day;Day;Day;612,002793718499;0,522682445759369;0,39484126984127;0,649019607843137;0,502958579881657;0,669971671388102
MLP;0,75;0,25;5000;10~10~1;no PCA;Day;Day;Day;895,990895503999;0,557199211045365;0,650793650793651;0,464705882352941;0,502958579881657;0,63314447592068
Jordan;0,75;0,25;5000;10~10~1;no PCA;Day;Day;Day;769,405673771369;0,529585798816568;0,662698412698413;0,398039215686274;0,502958579881657;0,64494806421152
Elman;0,75;0,25;5000;10~10~1;no PCA;Day;Day;Day;676,577147030978;0,554240631163708;0,623015873015873;0,486274509803922;0,502958579881657;0,655807365439093
MLP;1;0,25;5000;10~10~1;no PCA;Day;Day;Day;906,365501600404;0,539447731755424;0,722222222222222;0,358823529411765;0,502958579881657;0,635977337110482
Jordan;1;0,25;5000;10~10~1;no PCA;Day;Day;Day;808,705783072401;0,534516765285996;0,626984126984127;0,443137254901961;0,502958579881657;0,641643059490085
Elman;1;0,25;5000;10~10~1;no PCA;Day;Day;Day;642,10043628269;0,545364891518738;0,744047619047619;0,349019607843137;0,502958579881657;0,675637393767705
MLP;0,75;0;5000;30~30~1;20;Day;Day;Day;504,25737824765;0,513806706114398;0,944444444444445;0,0882352941176471;0,502958579881657;0,704438149197356
Jordan;0,75;0;5000;30~30~1;20;Day;Day;Day;531,618478744886;0,509861932938856;0,998015873015873;0,0274509803921569;0,502958579881657;0,701133144475921
Elman;0,75;0;5000;30~30~1;20;Day;Day;Day;425,764565943304;0,555226824457594;0,831349206349206;0,282352941176471;0,502958579881657;0,72851746931067
MLP;1;0;5000;30~30~1;20;Day;Day;Day;435,235361018243;0,513806706114398;0,94047619047619;0,092156862745098;0,502958579881657;0,736543909348442
