User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 21:11:32
CalculationTime:;00:03:21
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Elman;0,6;0,4;100;2~1;no PCA;Week;Day;Day;16668,2730644288;0,49493545183714;0,502681231380338;0,548387096774194
MLP;0,8;0,4;100;2~1;no PCA;Week;Day;Day;18060,6835351239;0,495134061569017;0,502681231380338;0,548387096774194
Jordan;0,8;0,4;100;2~1;no PCA;Week;Day;Day;9539,57513672263;0,494736842105263;0,502681231380338;0,580645161290323
Elman;0,8;0,4;100;2~1;no PCA;Week;Day;Day;5866,59416157042;0,495729890764647;0,502681231380338;0,645161290322581
MLP;1;0,4;100;2~1;no PCA;Week;Day;Day;15402,3121408181;0,495134061569017;0,502681231380338;0,548387096774194
Jordan;1;0,4;100;2~1;no PCA;Week;Day;Day;13722,2021638229;0,49493545183714;0,502681231380338;0,516129032258065
Elman;1;0,4;100;2~1;no PCA;Week;Day;Day;4921,83667749814;0,495332671300894;0,502681231380338;0,67741935483871
MLP;0;0,6;100;2~1;no PCA;Week;Day;Day;1457318,44395373;0,497914597815293;0,502681231380338;0,451612903225806
Jordan;0;0,6;100;2~1;no PCA;Week;Day;Day;645581,616039102;0,500099304865938;0,502681231380338;0,451612903225806
Elman;0;0,6;100;2~1;no PCA;Week;Day;Day;1087340,54530706;0,495134061569017;0,502681231380338;0,451612903225806
MLP;0,2;0,6;100;2~1;no PCA;Week;Day;Day;12704,8506244873;0,494141012909633;0,502681231380338;0,580645161290323
Jordan;0,2;0,6;100;2~1;no PCA;Week;Day;Day;10556,8691677234;0,494736842105263;0,502681231380338;0,612903225806452
Elman;0,2;0,6;100;2~1;no PCA;Week;Day;Day;9676,11629660646;0,49493545183714;0,502681231380338;0,612903225806452
MLP;0,4;0,6;100;2~1;no PCA;Week;Day;Day;10292,7051088839;0,494339622641509;0,502681231380338;0,580645161290323
Jordan;0,4;0,6;100;2~1;no PCA;Week;Day;Day;12217,6917007942;0,494736842105263;0,502681231380338;0,612903225806452
Elman;0,4;0,6;100;2~1;no PCA;Week;Day;Day;18293,9875329838;0,494141012909633;0,502681231380338;0,580645161290323
MLP;0,6;0,6;100;2~1;no PCA;Week;Day;Day;10091,7065688712;0,494538232373386;0,502681231380338;0,612903225806452
Jordan;0,6;0,6;100;2~1;no PCA;Week;Day;Day;8082,50249810713;0,493743793445879;0,502681231380338;0,612903225806452
Elman;0,6;0,6;100;2~1;no PCA;Week;Day;Day;16642,9844171705;0,494538232373386;0,502681231380338;0,580645161290323
MLP;0,8;0,6;100;2~1;no PCA;Week;Day;Day;8375,68164264553;0,494141012909633;0,502681231380338;0,612903225806452
Jordan;0,8;0,6;100;2~1;no PCA;Week;Day;Day;15576,023970874;0,494736842105263;0,502681231380338;0,548387096774194
Elman;0,8;0,6;100;2~1;no PCA;Week;Day;Day;9706,4698947898;0,494339622641509;0,502681231380338;0,548387096774194
MLP;1;0,6;100;2~1;no PCA;Week;Day;Day;6151,74333998568;0,494736842105263;0,502681231380338;0,612903225806452
Jordan;1;0,6;100;2~1;no PCA;Week;Day;Day;7882,86583423746;0,494538232373386;0,502681231380338;0,580645161290323
Elman;1;0,6;100;2~1;no PCA;Week;Day;Day;8455,28196937633;0,495332671300894;0,502681231380338;0,580645161290323
MLP;0;0,8;100;2~1;no PCA;Week;Day;Day;589599,701143909;0,499702085402185;0,502681231380338;0,451612903225806
Jordan;0;0,8;100;2~1;no PCA;Week;Day;Day;235212,491204937;0,499304865938431;0,502681231380338;0,451612903225806
Elman;0;0,8;100;2~1;no PCA;Week;Day;Day;470590,932224441;0,499503475670308;0,502681231380338;0,451612903225806
MLP;0,2;0,8;100;2~1;no PCA;Week;Day;Day;11627,7731632508;0,494339622641509;0,502681231380338;0,645161290322581
Jordan;0,2;0,8;100;2~1;no PCA;Week;Day;Day;10080,8996461906;0,493743793445879;0,502681231380338;0,612903225806452
