User:;Maciej
IndexName:;WIG20withMacro
StartDate:;2015-01-14 23:41:22
CalculationTime:;04:44:19
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Jordan;1;0,75;40000;30~1;no PCA;Day;Day;Day;1980,86210922122;0,499702321889264;0,503076007144275;0,741935483870968
Elman;1;0,75;40000;30~1;no PCA;Day;Day;Day;1458,81884120919;0,499106965667791;0,503076007144275;0,838709677419355
MLP;0,25;0;40000;5~1;no PCA;Day;Day;Day;2218,06519350486;0,501091486406033;0,503076007144275;0,806451612903226
Jordan;0,25;0;40000;5~1;no PCA;Day;Day;Day;2148,41604069858;0,499305417741615;0,503076007144275;0,806451612903226
Elman;0,25;0;40000;5~1;no PCA;Day;Day;Day;1988,46526241466;0,498908513593967;0,503076007144275;0,774193548387097
MLP;0,5;0;40000;5~1;no PCA;Day;Day;Day;1633,94124979472;0,49950386981544;0,503076007144275;0,645161290322581
Jordan;0,5;0;40000;5~1;no PCA;Day;Day;Day;1723,23507960544;0,497519349077198;0,503076007144275;0,774193548387097
Elman;0,5;0;40000;5~1;no PCA;Day;Day;Day;1311,88648481415;0,499702321889264;0,503076007144275;0,774193548387097
MLP;0,75;0;40000;5~1;no PCA;Day;Day;Day;1547,40195754452;0,498908513593967;0,503076007144275;0,67741935483871
Jordan;0,75;0;40000;5~1;no PCA;Day;Day;Day;1405,33422299004;0,49811470529867;0,503076007144275;0,838709677419355
Elman;0,75;0;40000;5~1;no PCA;Day;Day;Day;1604,74167306904;0,497717801151022;0,503076007144275;0,645161290322581
MLP;1;0;40000;5~1;no PCA;Day;Day;Day;1095,3200593071;0,495336376265132;0,503076007144275;0,838709677419355
Jordan;1;0;40000;5~1;no PCA;Day;Day;Day;1533,42823321844;0,497717801151022;0,503076007144275;0,645161290322581
Elman;1;0;40000;5~1;no PCA;Day;Day;Day;949,013883854102;0,49811470529867;0,503076007144275;0,903225806451613
