User:;komputer
IndexName:;TimeSeriesOur
StartDate:;2015-01-15 12:26:33
CalculationTime:;00:13:49
TestCasesNumber:;5
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0,25;0;1000;30~30~1;no PCA;Day;Day;Day;0,00301987250029649
Jordan;0,25;0;1000;30~30~1;no PCA;Day;Day;Day;0,00301929043917172
Elman;0,25;0;1000;30~30~1;no PCA;Day;Day;Day;0,00349703254510092
MLP;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;0,00300748491303772
Jordan;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;0,00298100268089331
Elman;0,5;0;1000;30~30~1;no PCA;Day;Day;Day;0,00326306111646804
MLP;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;0,00278745919141833
Jordan;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;0,00244096333472428
Elman;0,75;0;1000;30~30~1;no PCA;Day;Day;Day;0,00283575256416069
MLP;1;0;1000;30~30~1;no PCA;Day;Day;Day;0,0024436568184923
Jordan;1;0;1000;30~30~1;no PCA;Day;Day;Day;0,0024212564895876
Elman;1;0;1000;30~30~1;no PCA;Day;Day;Day;0,00279437402076247
MLP;0,25;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0804751975056443
Jordan;0,25;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0831453886057318
Elman;0,25;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0806068364794465
MLP;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,065758222117283
Jordan;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0816349919070382
Elman;0,5;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0816960398455489
MLP;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,082938912135994
Jordan;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0829369733759793
Elman;0,75;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0829708046952772
MLP;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0881855484575157
Jordan;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0843136755751992
Elman;1;0,25;1000;30~30~1;no PCA;Day;Day;Day;0,0882639032845385
MLP;0,25;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0920621534300992
Jordan;0,25;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0920727762414374
Elman;0,25;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0920751253684447
MLP;0,5;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0934894330416597
Jordan;0,5;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0934961285251171
Elman;0,5;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0934690196282396
MLP;0,75;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,095069556206376
Jordan;0,75;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0950780207882085
Elman;0,75;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,095053940695392
MLP;1;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0967377741527259
Jordan;1;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0967406382482685
Elman;1;0,5;1000;30~30~1;no PCA;Day;Day;Day;0,0967263280731743
MLP;0,25;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,106249206201087
Jordan;0,25;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,106254870870525
Elman;0,25;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,10618090096089
MLP;0,5;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,108006132012016
Jordan;0,5;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,108008603539876
Elman;0,5;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,107969929254412
MLP;0,75;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,109950860710918
Jordan;0,75;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,109947401447672
Elman;0,75;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,109927091656943
MLP;1;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,111974776633361
Jordan;1;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,111974377400957
Elman;1;0,75;1000;30~30~1;no PCA;Day;Day;Day;0,111955769019266
MLP;0,25;0;5000;30~30~1;no PCA;Day;Day;Day;0,00176898830838054
Jordan;0,25;0;5000;30~30~1;no PCA;Day;Day;Day;0,0013815418026784
Elman;0,25;0;5000;30~30~1;no PCA;Day;Day;Day;0,000962782832403136
MLP;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,000856061854221574
Jordan;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,000691918967899227
Elman;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,0010476474110837
MLP;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;0,000439889864605263
Jordan;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;0,000494107551994152
Elman;0,75;0;5000;30~30~1;no PCA;Day;Day;Day;0,00211669768783881
MLP;1;0;5000;30~30~1;no PCA;Day;Day;Day;0,000444017790881089
Jordan;1;0;5000;30~30~1;no PCA;Day;Day;Day;0,000403010923762421
Elman;1;0;5000;30~30~1;no PCA;Day;Day;Day;0,00238338831255751
MLP;0,25;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0801727542186341
Jordan;0,25;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0642497626529286
Elman;0,25;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0828325184578149
MLP;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,017002956883297
Jordan;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0652821861223996
Elman;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0875599559146009
MLP;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0666098489726818
Jordan;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0499171587254632
Elman;0,75;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0828387639033358
MLP;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0507512217865819
Jordan;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0507936450490851
Elman;1;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0842356389793158
MLP;0,25;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0917320299278645
Jordan;0,25;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0917410955499508
Elman;0,25;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0917284235673238
MLP;0,5;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0933136534864339
Jordan;0,5;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0933143979302497
Elman;0,5;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0933079037444526
MLP;0,75;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0949582422102693
Jordan;0,75;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,094959359631438
Elman;0,75;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0949558814753878
MLP;1;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0966497356105512
Jordan;1;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0966498405143719
Elman;1;0,5;5000;30~30~1;no PCA;Day;Day;Day;0,0966471348738989
MLP;0,25;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,105900667947566
Jordan;0,25;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,105906899536761
Elman;0,25;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,10588318441159
MLP;0,5;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,107828032993026
Jordan;0,5;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,107828472796868
Elman;0,5;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,107820716342852
MLP;0,75;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,109829678507955
Jordan;0,75;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,109829358340277
Elman;0,75;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,109823281589997
MLP;1;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,111883183567305
Jordan;1;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,111883043582213
Elman;1;0,75;5000;30~30~1;no PCA;Day;Day;Day;0,111879259074672
