User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-15 07:23:56
CalculationTime:;00:13:26
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;1;0;10000;30~30~1;15;Day;Day;Day;2486,92476654811;0,49573328041278;0,503076007144275;0,741935483870968
Jordan;1;0;10000;30~30~1;15;Day;Day;Day;2437,78003174087;0,49573328041278;0,503076007144275;0,774193548387097
Elman;1;0;10000;30~30~1;15;Day;Day;Day;2087,66460359032;0,495336376265132;0,503076007144275;0,774193548387097
MLP;1;0;10000;30~30~1;10;Day;Day;Day;2743,99056591406;0,49573328041278;0,503076007144275;0,806451612903226
Jordan;1;0;10000;30~30~1;10;Day;Day;Day;2788,37428117914;0,49573328041278;0,503076007144275;0,774193548387097
Elman;1;0;10000;30~30~1;10;Day;Day;Day;2259,34681082919;0,49573328041278;0,503076007144275;0,774193548387097
