User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:01:59
CalculationTime:;00:07:17
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0;0;500;5~1;no PCA;Day;Day;Day;0,0845982071422036
Jordan;0;0;500;5~1;no PCA;Day;Day;Day;0,0828322373728081
Elman;0;0;500;5~1;no PCA;Day;Day;Day;0,0815153454199521
MLP;0,2;0;500;5~1;no PCA;Day;Day;Day;0,00503111224818241
Jordan;0,2;0;500;5~1;no PCA;Day;Day;Day;0,00505813462446889
Elman;0,2;0;500;5~1;no PCA;Day;Day;Day;0,00403703405246591
MLP;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00227399617680375
Jordan;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00222400860068059
Elman;0,4;0;500;5~1;no PCA;Day;Day;Day;0,00229391185391392
MLP;0,6;0;500;5~1;no PCA;Day;Day;Day;0,00237708597835497
Jordan;0,6;0;500;5~1;no PCA;Day;Day;Day;0,00236938165130242
Elman;0,6;0;500;5~1;no PCA;Day;Day;Day;0,00245339239143998
MLP;0,8;0;500;5~1;no PCA;Day;Day;Day;0,00249969408589813
Jordan;0,8;0;500;5~1;no PCA;Day;Day;Day;0,0024855346299111
Elman;0,8;0;500;5~1;no PCA;Day;Day;Day;0,00254911704693047
MLP;1;0;500;5~1;no PCA;Day;Day;Day;0,00252398842167864
Jordan;1;0;500;5~1;no PCA;Day;Day;Day;0,0025776002403682
Elman;1;0;500;5~1;no PCA;Day;Day;Day;0,00265714241402509
MLP;0;0,2;500;5~1;no PCA;Day;Day;Day;0,110951631005395
Jordan;0;0,2;500;5~1;no PCA;Day;Day;Day;0,113297792993243
Elman;0;0,2;500;5~1;no PCA;Day;Day;Day;0,11781992248844
MLP;0,2;0,2;500;5~1;no PCA;Day;Day;Day;0,00710000759399551
Jordan;0,2;0,2;500;5~1;no PCA;Day;Day;Day;0,0110298931106805
Elman;0,2;0,2;500;5~1;no PCA;Day;Day;Day;0,0441205749075151
MLP;0,4;0,2;500;5~1;no PCA;Day;Day;Day;0,00252270397152553
Jordan;0,4;0,2;500;5~1;no PCA;Day;Day;Day;0,0025200377596266
Elman;0,4;0,2;500;5~1;no PCA;Day;Day;Day;0,00713486347970625
MLP;0,6;0,2;500;5~1;no PCA;Day;Day;Day;0,00257154681050738
Jordan;0,6;0,2;500;5~1;no PCA;Day;Day;Day;0,00251132069028377
Elman;0,6;0,2;500;5~1;no PCA;Day;Day;Day;0,00293938970555673
MLP;0,8;0,2;500;5~1;no PCA;Day;Day;Day;0,00260733451254316
Jordan;0,8;0,2;500;5~1;no PCA;Day;Day;Day;0,00256951888682071
Elman;0,8;0,2;500;5~1;no PCA;Day;Day;Day;0,00246673181765188
MLP;1;0,2;500;5~1;no PCA;Day;Day;Day;0,00267130316928516
Jordan;1;0,2;500;5~1;no PCA;Day;Day;Day;0,00257713032861555
Elman;1;0,2;500;5~1;no PCA;Day;Day;Day;0,00249765148786173
MLP;0;0,4;500;5~1;no PCA;Day;Day;Day;0,16789383545543
Jordan;0;0,4;500;5~1;no PCA;Day;Day;Day;0,169119255458444
Elman;0;0,4;500;5~1;no PCA;Day;Day;Day;0,178348539452786
MLP;0,2;0,4;500;5~1;no PCA;Day;Day;Day;0,0465425631356194
Jordan;0,2;0,4;500;5~1;no PCA;Day;Day;Day;0,0746564505993768
Elman;0,2;0,4;500;5~1;no PCA;Day;Day;Day;0,0881219194025693
MLP;0,4;0,4;500;5~1;no PCA;Day;Day;Day;0,00269086388519557
Jordan;0,4;0,4;500;5~1;no PCA;Day;Day;Day;0,0240570866927893
Elman;0,4;0,4;500;5~1;no PCA;Day;Day;Day;0,088356889922703
MLP;0,6;0,4;500;5~1;no PCA;Day;Day;Day;0,00264915686123575
Jordan;0,6;0,4;500;5~1;no PCA;Day;Day;Day;0,0101157030266876
Elman;0,6;0,4;500;5~1;no PCA;Day;Day;Day;0,0892350056928349
MLP;0,8;0,4;500;5~1;no PCA;Day;Day;Day;0,00259093854054581
Jordan;0,8;0,4;500;5~1;no PCA;Day;Day;Day;0,00253555560200058
Elman;0,8;0,4;500;5~1;no PCA;Day;Day;Day;0,0892943959321355
MLP;1;0,4;500;5~1;no PCA;Day;Day;Day;0,00262459158688031
Jordan;1;0,4;500;5~1;no PCA;Day;Day;Day;0,0024934891123791
Elman;1;0,4;500;5~1;no PCA;Day;Day;Day;0,0873608528320173
MLP;0;0,6;500;5~1;no PCA;Day;Day;Day;0,256752893030631
Jordan;0;0,6;500;5~1;no PCA;Day;Day;Day;0,252896836075316
Elman;0;0,6;500;5~1;no PCA;Day;Day;Day;0,254200675926358
MLP;0,2;0,6;500;5~1;no PCA;Day;Day;Day;0,0946666255972703
Jordan;0,2;0,6;500;5~1;no PCA;Day;Day;Day;0,0988486852784693
Elman;0,2;0,6;500;5~1;no PCA;Day;Day;Day;0,0985240309395048
MLP;0,4;0,6;500;5~1;no PCA;Day;Day;Day;0,0391155378448047
Jordan;0,4;0,6;500;5~1;no PCA;Day;Day;Day;0,0985432127252773
Elman;0,4;0,6;500;5~1;no PCA;Day;Day;Day;0,0989575607390069
MLP;0,6;0,6;500;5~1;no PCA;Day;Day;Day;0,0127337382643133
Jordan;0,6;0,6;500;5~1;no PCA;Day;Day;Day;0,0921814361363377
Elman;0,6;0,6;500;5~1;no PCA;Day;Day;Day;0,100056520483036
MLP;0,8;0,6;500;5~1;no PCA;Day;Day;Day;0,00291072623163814
Jordan;0,8;0,6;500;5~1;no PCA;Day;Day;Day;0,0863099874729651
Elman;0,8;0,6;500;5~1;no PCA;Day;Day;Day;0,10134091206907
MLP;1;0,6;500;5~1;no PCA;Day;Day;Day;0,0032704013482096
Jordan;1;0,6;500;5~1;no PCA;Day;Day;Day;0,0746889407639727
Elman;1;0,6;500;5~1;no PCA;Day;Day;Day;0,102717409422194
MLP;0;0,8;500;5~1;no PCA;Day;Day;Day;0,327250902809358
Jordan;0;0,8;500;5~1;no PCA;Day;Day;Day;0,321131181991823
Elman;0;0,8;500;5~1;no PCA;Day;Day;Day;0,298287904497443
