User:;Maciej
IndexName:;WIG20withMacro
StartDate:;2015-01-15 11:52:54
CalculationTime:;00:43:16
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Elman;1;0;10000;30~30~1;no PCA;Day;Day;Day;1197,22820585406;0,497519349077198;0,503076007144275;0,838709677419355
Elman;1,25;0;10000;30~30~1;no PCA;Day;Day;Day;917,09342619557;0,499305417741615;0,503076007144275;0,870967741935484
Elman;1,5;0;10000;30~30~1;no PCA;Day;Day;Day;743,922448162741;0,498511609446319;0,503076007144275;0,935483870967742
Elman;1,75;0;10000;30~30~1;no PCA;Day;Day;Day;634,632619556685;0,49573328041278;0,503076007144275;0,870967741935484
Elman;2;0;10000;30~30~1;no PCA;Day;Day;Day;606,532405139989;0,496725540781901;0,503076007144275;0,935483870967742
Elman;3;0;10000;30~30~1;no PCA;Day;Day;Day;557,879421477159;0,496328636634253;0,503076007144275;0,870967741935484
Elman;4;0;10000;30~30~1;no PCA;Day;Day;Day;464,802432956763;0,495336376265132;0,503076007144275;0,870967741935484
