User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-15 12:44:55
CalculationTime:;02:46:41
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Jordan;2;0;10000;2~1;no PCA;Day;Day;Day;4446,36421012803;0,497320897003374;0,503076007144275;0,483870967741936
Elman;2;0;10000;2~1;no PCA;Day;Day;Day;4352,18097916622;0,496328636634253;0,503076007144275;0,548387096774194
MLP;0;0;10000;10~1;no PCA;Day;Day;Day;2369483,99863785;0,504862075808692;0,503076007144275;0,419354838709677
Jordan;0;0;10000;10~1;no PCA;Day;Day;Day;1722672,83152579;0,504465171661044;0,503076007144275;0,419354838709677
Elman;0;0;10000;10~1;no PCA;Day;Day;Day;1259511,0367676;0,498511609446319;0,503076007144275;0,516129032258065
MLP;0,5;0;10000;10~1;no PCA;Day;Day;Day;4840,95447589945;0,497122444929549;0,503076007144275;0,548387096774194
Jordan;0,5;0;10000;10~1;no PCA;Day;Day;Day;4544,35742761641;0,496923992855725;0,503076007144275;0,548387096774194
Elman;0,5;0;10000;10~1;no PCA;Day;Day;Day;4864,24396726862;0,496328636634253;0,503076007144275;0,548387096774194
MLP;1;0;10000;10~1;no PCA;Day;Day;Day;4930,84725735262;0,496923992855725;0,503076007144275;0,516129032258065
Jordan;1;0;10000;10~1;no PCA;Day;Day;Day;4563,45275664843;0,496725540781901;0,503076007144275;0,548387096774194
Elman;1;0;10000;10~1;no PCA;Day;Day;Day;4602,24048946608;0,496923992855725;0,503076007144275;0,612903225806452
MLP;1,5;0;10000;10~1;no PCA;Day;Day;Day;4997,31492827602;0,496725540781901;0,503076007144275;0,516129032258065
Jordan;1,5;0;10000;10~1;no PCA;Day;Day;Day;4525,88876582157;0,496328636634253;0,503076007144275;0,548387096774194
Elman;1,5;0;10000;10~1;no PCA;Day;Day;Day;4714,37984123891;0,496923992855725;0,503076007144275;0,612903225806452
MLP;2;0;10000;10~1;no PCA;Day;Day;Day;4994,41363764197;0,496725540781901;0,503076007144275;0,387096774193548
Jordan;2;0;10000;10~1;no PCA;Day;Day;Day;4554,26619015418;0,496527088708077;0,503076007144275;0,580645161290323
Elman;2;0;10000;10~1;no PCA;Day;Day;Day;4697,41311480366;0,496923992855725;0,503076007144275;0,580645161290323
MLP;0;0;10000;30~1;no PCA;Day;Day;Day;3292688,63376102;0,505854336177813;0,503076007144275;0,419354838709677
Jordan;0;0;10000;30~1;no PCA;Day;Day;Day;4110403,07516723;0,505060527882516;0,503076007144275;0,419354838709677
Elman;0;0;10000;30~1;no PCA;Day;Day;Day;3568324,60340022;0,50664814447311;0,503076007144275;0,419354838709677
MLP;0,5;0;10000;30~1;no PCA;Day;Day;Day;5169,70644956472;0,496130184560429;0,503076007144275;0,451612903225806
Jordan;0,5;0;10000;30~1;no PCA;Day;Day;Day;4726,99589527457;0,496328636634253;0,503076007144275;0,548387096774194
Elman;0,5;0;10000;30~1;no PCA;Day;Day;Day;5382,58767911046;0,496923992855725;0,503076007144275;0,580645161290323
MLP;1;0;10000;30~1;no PCA;Day;Day;Day;5417,55286072133;0,496923992855725;0,503076007144275;0,483870967741936
Jordan;1;0;10000;30~1;no PCA;Day;Day;Day;4834,84609037235;0,496725540781901;0,503076007144275;0,548387096774194
Elman;1;0;10000;30~1;no PCA;Day;Day;Day;5200,22376442722;0,496527088708077;0,503076007144275;0,612903225806452
MLP;1,5;0;10000;30~1;no PCA;Day;Day;Day;5468,72271148079;0,496923992855725;0,503076007144275;0,483870967741936
Jordan;1,5;0;10000;30~1;no PCA;Day;Day;Day;4741,79473996765;0,496923992855725;0,503076007144275;0,516129032258065
Elman;1,5;0;10000;30~1;no PCA;Day;Day;Day;5260,26875665441;0,496527088708077;0,503076007144275;0,645161290322581
MLP;2;0;10000;30~1;no PCA;Day;Day;Day;5358,63373340088;0,496923992855725;0,503076007144275;0,483870967741936
Jordan;2;0;10000;30~1;no PCA;Day;Day;Day;4713,71866922268;0,496725540781901;0,503076007144275;0,580645161290323
Elman;2;0;10000;30~1;no PCA;Day;Day;Day;5284,76531156553;0,496725540781901;0,503076007144275;0,612903225806452
MLP;0;0;10000;2~2~1;no PCA;Day;Day;Day;1575197,5732466;0,496328636634253;0,503076007144275;0,451612903225806
Jordan;0;0;10000;2~2~1;no PCA;Day;Day;Day;2207611,97993099;0,501091486406033;0,503076007144275;0,419354838709677
Elman;0;0;10000;2~2~1;no PCA;Day;Day;Day;1845735,29360623;0,502083746775154;0,503076007144275;0,419354838709677
MLP;0,5;0;10000;2~2~1;no PCA;Day;Day;Day;4610,28846199922;0,49573328041278;0,503076007144275;0,483870967741936
Jordan;0,5;0;10000;2~2~1;no PCA;Day;Day;Day;4332,2737392803;0,496725540781901;0,503076007144275;0,548387096774194
Elman;0,5;0;10000;2~2~1;no PCA;Day;Day;Day;4073,16242197502;0,496923992855725;0,503076007144275;0,580645161290323
MLP;1;0;10000;2~2~1;no PCA;Day;Day;Day;4800,40389604909;0,49573328041278;0,503076007144275;0,516129032258065
Jordan;1;0;10000;2~2~1;no PCA;Day;Day;Day;4389,48809636826;0,496328636634253;0,503076007144275;0,419354838709677
Elman;1;0;10000;2~2~1;no PCA;Day;Day;Day;4357,08603240209;0,497717801151022;0,503076007144275;0,580645161290323
