User:;komputer
IndexName:;Wig20ClosingAndVolumeOnly
StartDate:;2015-01-17 21:49:06
CalculationTime:;10:03:48
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;70
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;TestCorrectDownPredictionsRate;TestCorrectUpPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1026,99257015536;0,5;0;1;0,5;0,504854368932039
Jordan;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1008,40767665202;0,5;0;1;0,5;0,511442441054092
Elman;0,8;0,1;700;4~1;no PCA;Day;Day;Day;1016,07025529142;0,5;0;1;0,5;0,511442441054092
MLP;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;1004,79351924073;0,5;0;1;0,5;0,50624133148405
Jordan;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;1017,04507777626;0,5;0;1;0,5;0,505894590846047
Elman;0,8;0,1;1000;4~1;no PCA;Day;Day;Day;999,548900797852;0,5;0;1;0,5;0,506588072122053
MLP;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;979,59226122729;0,5;0;1;0,5;0,51005547850208
Jordan;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;986,888098580224;0,5;0;1;0,5;0,513522884882108
Elman;0,8;0,1;2500;4~1;no PCA;Day;Day;Day;992,603671529551;0,5;0;1;0,5;0,507281553398058
MLP;0,8;0,1;7500;4~1;no PCA;Day;Day;Day;980,695921137433;0,5;0;1;0,5;0,511789181692094
Jordan;0,8;0,1;7500;4~1;no PCA;Day;Day;Day;983,660331452518;0,5;0;1;0,5;0,505894590846047
Elman;0,8;0,1;7500;4~1;no PCA;Day;Day;Day;980,273666229264;0,5;0;1;0,5;0,509708737864078
MLP;0,8;0,1;10000;4~1;no PCA;Day;Day;Day;982,217990137915;0,5;0;1;0,5;0,509015256588072
Jordan;0,8;0,1;10000;4~1;no PCA;Day;Day;Day;982,207731329054;0,5;0;1;0,5;0,508321775312067
Elman;0,8;0,1;10000;4~1;no PCA;Day;Day;Day;972,465555788716;0,5;0;1;0,5;0,512829403606103
MLP;0,8;0,1;700;60~1;no PCA;Day;Day;Day;1057,09577499057;0,5;0;1;0,5;0,509015256588072
Jordan;0,8;0,1;700;60~1;no PCA;Day;Day;Day;1048,23595195498;0,5;0;1;0,5;0,512135922330097
Elman;0,8;0,1;700;60~1;no PCA;Day;Day;Day;1181,40748135216;0,51453488372093;0,0479651162790698;0,981104651162791;0,5;0,515603328710125
MLP;0,8;0,1;1000;60~1;no PCA;Day;Day;Day;1036,38888530495;0,5;0;1;0,5;0,505894590846047
Jordan;0,8;0,1;1000;60~1;no PCA;Day;Day;Day;1031,48978988544;0,5;0;1;0,5;0,505547850208044
Elman;0,8;0,1;1000;60~1;no PCA;Day;Day;Day;1129,20376938257;0,503633720930233;0,00726744186046512;1;0,5;0,51872399445215
MLP;0,8;0,1;2500;60~1;no PCA;Day;Day;Day;1010,05989408337;0,5;0;1;0,5;0,507628294036061
Jordan;0,8;0,1;2500;60~1;no PCA;Day;Day;Day;1002,29357486135;0,5;0;1;0,5;0,5124826629681
Elman;0,8;0,1;2500;60~1;no PCA;Day;Day;Day;1062,27047905427;0,5;0;1;0,5;0,515603328710125
MLP;0,8;0,1;7500;60~1;no PCA;Day;Day;Day;976,381206071174;0,5;0;1;0,5;0,512135922330097
Jordan;0,8;0,1;7500;60~1;no PCA;Day;Day;Day;975,717530567784;0,5;0;1;0,5;0,514216366158114
Elman;0,8;0,1;7500;60~1;no PCA;Day;Day;Day;1069,10680107094;0,5;0;1;0,5;0,500693481276006
MLP;0,8;0,1;10000;60~1;no PCA;Day;Day;Day;974,090158172576;0,5;0;1;0,5;0,514909847434119
Jordan;0,8;0,1;10000;60~1;no PCA;Day;Day;Day;972,034326367781;0,5;0;1;0,5;0,515950069348128
Elman;0,8;0,1;10000;60~1;no PCA;Day;Day;Day;1066,33145446572;0,5;0;1;0,5;0,512135922330097
MLP;0,8;0,1;700;4~4~1;no PCA;Day;Day;Day;1031,6298741926;0,5;0;1;0,5;0,513176144244105
Jordan;0,8;0,1;700;4~4~1;no PCA;Day;Day;Day;1040,53372292847;0,5;0;1;0,5;0,509361997226075
Elman;0,8;0,1;700;4~4~1;no PCA;Day;Day;Day;1063,24204560125;0,5;0;1;0,5;0,511789181692094
MLP;0,8;0,1;1000;4~4~1;no PCA;Day;Day;Day;1027,7266511861;0,5;0;1;0,5;0,508668515950069
Jordan;0,8;0,1;1000;4~4~1;no PCA;Day;Day;Day;1029,88729064083;0,5;0;1;0,5;0,513522884882108
Elman;0,8;0,1;1000;4~4~1;no PCA;Day;Day;Day;1057,07547118612;0,5;0;1;0,5;0,511442441054092
MLP;0,8;0,1;2500;4~4~1;no PCA;Day;Day;Day;996,269774009592;0,5;0;1;0,5;0,512135922330097
Jordan;0,8;0,1;2500;4~4~1;no PCA;Day;Day;Day;1017,96130250923;0,5;0;1;0,5;0,514216366158114
Elman;0,8;0,1;2500;4~4~1;no PCA;Day;Day;Day;1053,91797470344;0,534156976744186;0,313953488372093;0,754360465116279;0,5;0,508668515950069
MLP;0,8;0,1;7500;4~4~1;no PCA;Day;Day;Day;1047,55464130749;0,5;0;1;0,5;0,508668515950069
Jordan;0,8;0,1;7500;4~4~1;no PCA;Day;Day;Day;1402,84838450948;0,521075581395349;0,142441860465116;0,899709302325581;0,5;0,509015256588072
Elman;0,8;0,1;7500;4~4~1;no PCA;Day;Day;Day;1313,51526029894;0,535610465116279;0,207848837209302;0,863372093023256;0,5;0,516990291262136
MLP;0,8;0,1;10000;4~4~1;no PCA;Day;Day;Day;1353,64348666626;0,520348837209302;0,107558139534884;0,933139534883721;0,5;0,523578363384189
Jordan;0,8;0,1;10000;4~4~1;no PCA;Day;Day;Day;1657,91326255422;0,529796511627907;0,226744186046512;0,832848837209302;0,5;0,524618585298197
Elman;0,8;0,1;10000;4~4~1;no PCA;Day;Day;Day;1297,34724552843;0,525436046511628;0,113372093023256;0,9375;0,5;0,511442441054092
MLP;0,8;0,1;700;8~8~1;no PCA;Day;Day;Day;1025,80946374075;0,5;0;1;0,5;0,513176144244105
Jordan;0,8;0,1;700;8~8~1;no PCA;Day;Day;Day;1033,22165359538;0,5;0;1;0,5;0,508321775312067
Elman;0,8;0,1;700;8~8~1;no PCA;Day;Day;Day;1083,37154511847;0,5;0;1;0,5;0,515256588072122
MLP;0,8;0,1;1000;8~8~1;no PCA;Day;Day;Day;1011,43795664285;0,5;0;1;0,5;0,513522884882108
Jordan;0,8;0,1;1000;8~8~1;no PCA;Day;Day;Day;1020,13879608832;0,5;0;1;0,5;0,514216366158114
Elman;0,8;0,1;1000;8~8~1;no PCA;Day;Day;Day;1063,39312904705;0,5;0;1;0,5;0,513869625520111
MLP;0,8;0,1;2500;8~8~1;no PCA;Day;Day;Day;996,043246524429;0,5;0;1;0,5;0,509015256588072
Jordan;0,8;0,1;2500;8~8~1;no PCA;Day;Day;Day;999,27911849296;0,5;0;1;0,5;0,514563106796117
Elman;0,8;0,1;2500;8~8~1;no PCA;Day;Day;Day;1026,88548676318;0,5;0;1;0,5;0,506934812760055
MLP;0,8;0,1;7500;8~8~1;no PCA;Day;Day;Day;970,496464951679;0,552325581395349;0,515988372093023;0,588662790697674;0,5;0,525658807212205
Jordan;0,8;0,1;7500;8~8~1;no PCA;Day;Day;Day;983,765992553574;0,542151162790698;0,406976744186047;0,677325581395349;0,5;0,512829403606103
Elman;0,8;0,1;7500;8~8~1;no PCA;Day;Day;Day;1013,62743154011;0,510174418604651;0,63953488372093;0,380813953488372;0,5;0,526352288488211
MLP;0,8;0,1;10000;8~8~1;no PCA;Day;Day;Day;953,120077191492;0,561773255813954;0,555232558139535;0,568313953488372;0,5;0,530859916782247
Jordan;0,8;0,1;10000;8~8~1;no PCA;Day;Day;Day;981,467191723653;0,558866279069767;0,606104651162791;0,511627906976744;0,5;0,522191400832178
Elman;0,8;0,1;10000;8~8~1;no PCA;Day;Day;Day;987,252503814851;0,567587209302326;0,456395348837209;0,678779069767442;0,5;0,522191400832178
MLP;0,8;0,1;700;30~30~1;no PCA;Day;Day;Day;1020,24998828162;0,5;0;1;0,5;0,513869625520111
Jordan;0,8;0,1;700;30~30~1;no PCA;Day;Day;Day;1029,06636066289;0,5;0;1;0,5;0,511789181692094
Elman;0,8;0,1;700;30~30~1;no PCA;Day;Day;Day;1172,24475149616;0,526889534883721;0,117732558139535;0,936046511627907;0,5;0,51629680998613
MLP;0,8;0,1;1000;30~30~1;no PCA;Day;Day;Day;1006,06736702663;0,5;0;1;0,5;0,509015256588072
Jordan;0,8;0,1;1000;30~30~1;no PCA;Day;Day;Day;1016,87340545947;0,5;0;1;0,5;0,513176144244105
Elman;0,8;0,1;1000;30~30~1;no PCA;Day;Day;Day;1124,04099630315;0,521802325581395;0,0930232558139535;0,950581395348837;0,5;0,519764216366158
MLP;0,8;0,1;2500;30~30~1;no PCA;Day;Day;Day;993,031576497721;0,5;0;1;0,5;0,508668515950069
Jordan;0,8;0,1;2500;30~30~1;no PCA;Day;Day;Day;1003,72048627029;0,5;0;1;0,5;0,513869625520111
Elman;0,8;0,1;2500;30~30~1;no PCA;Day;Day;Day;1063,2876806628;0,501453488372093;0,00290697674418605;1;0,5;0,506934812760055
MLP;0,8;0,1;7500;30~30~1;no PCA;Day;Day;Day;966,04787040324;0,576308139534884;0,630813953488372;0,521802325581395;0,5;0,521151178918169
Jordan;0,8;0,1;7500;30~30~1;no PCA;Day;Day;Day;960,311260150518;0,582848837209302;0,799418604651163;0,366279069767442;0,5;0,514909847434119
Elman;0,8;0,1;7500;30~30~1;no PCA;Day;Day;Day;955,350073728036;0,540697674418605;0,438953488372093;0,642441860465116;0,5;0,542995839112344
MLP;0,8;0,1;10000;30~30~1;no PCA;Day;Day;Day;948,038334631508;0,598110465116279;0,777616279069767;0,418604651162791;0,5;0,523578363384189
Jordan;0,8;0,1;10000;30~30~1;no PCA;Day;Day;Day;953,928742378608;0,571947674418605;0,636627906976744;0,507267441860465;0,5;0,514909847434119
Elman;0,8;0,1;10000;30~30~1;no PCA;Day;Day;Day;916,512153666204;0,535610465116279;0,659883720930233;0,411337209302326;0,5;0,548196948682386
MLP;0,8;0,1;700;60~60~1;no PCA;Day;Day;Day;1023,47971059915;0,5;0;1;0,5;0,516643550624133
