User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 23:22:40
CalculationTime:;03:38:19
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0;10000;30~1;no PCA;Day;Day;Day;2956,6087625209;0,499106965667791;0,503076007144275;0,806451612903226
Jordan;0,25;0;10000;30~1;no PCA;Day;Day;Day;2939,07520407544;0,498710061520143;0,503076007144275;0,806451612903226
Elman;0,25;0;10000;30~1;no PCA;Day;Day;Day;2936,12894307009;0,497320897003374;0,503076007144275;0,774193548387097
MLP;0,5;0;10000;30~1;no PCA;Day;Day;Day;3038,95385539142;0,497717801151022;0,503076007144275;0,774193548387097
Jordan;0,5;0;10000;30~1;no PCA;Day;Day;Day;2907,52107492741;0,49811470529867;0,503076007144275;0,806451612903226
Elman;0,5;0;10000;30~1;no PCA;Day;Day;Day;2777,47046072631;0,499900773963088;0,503076007144275;0,741935483870968
MLP;0,75;0;10000;30~1;no PCA;Day;Day;Day;2803,39474785326;0,497717801151022;0,503076007144275;0,774193548387097
Jordan;0,75;0;10000;30~1;no PCA;Day;Day;Day;2824,37823576611;0,497717801151022;0,503076007144275;0,806451612903226
Elman;0,75;0;10000;30~1;no PCA;Day;Day;Day;2482,47167915259;0,498313157372495;0,503076007144275;0,709677419354839
MLP;1;0;10000;30~1;no PCA;Day;Day;Day;2720,5599595877;0,49811470529867;0,503076007144275;0,774193548387097
Jordan;1;0;10000;30~1;no PCA;Day;Day;Day;2555,18652782562;0,498710061520143;0,503076007144275;0,741935483870968
Elman;1;0;10000;30~1;no PCA;Day;Day;Day;2393,60024267421;0,498313157372495;0,503076007144275;0,741935483870968
MLP;0,25;0,25;10000;30~1;no PCA;Day;Day;Day;3316,47927934702;0,497320897003374;0,503076007144275;0,67741935483871
Jordan;0,25;0,25;10000;30~1;no PCA;Day;Day;Day;3399,57605951713;0,497519349077198;0,503076007144275;0,67741935483871
Elman;0,25;0,25;10000;30~1;no PCA;Day;Day;Day;3640,37429953773;0,497916253224846;0,503076007144275;0,67741935483871
MLP;0,5;0,25;10000;30~1;no PCA;Day;Day;Day;2986,54060835456;0,497717801151022;0,503076007144275;0,67741935483871
Jordan;0,5;0,25;10000;30~1;no PCA;Day;Day;Day;2879,06893243465;0,497320897003374;0,503076007144275;0,67741935483871
Elman;0,5;0,25;10000;30~1;no PCA;Day;Day;Day;3087,88914750263;0,497320897003374;0,503076007144275;0,709677419354839
MLP;0,75;0,25;10000;30~1;no PCA;Day;Day;Day;2659,30653798487;0,497519349077198;0,503076007144275;0,67741935483871
Jordan;0,75;0,25;10000;30~1;no PCA;Day;Day;Day;2706,73243141245;0,49811470529867;0,503076007144275;0,67741935483871
Elman;0,75;0,25;10000;30~1;no PCA;Day;Day;Day;2423,75965279652;0,498908513593967;0,503076007144275;0,709677419354839
MLP;1;0,25;10000;30~1;no PCA;Day;Day;Day;2408,83220809996;0,498511609446319;0,503076007144275;0,67741935483871
Jordan;1;0,25;10000;30~1;no PCA;Day;Day;Day;2450,36125554225;0,498313157372495;0,503076007144275;0,67741935483871
Elman;1;0,25;10000;30~1;no PCA;Day;Day;Day;2452,94099857439;0,498710061520143;0,503076007144275;0,709677419354839
MLP;0,25;0,5;10000;30~1;no PCA;Day;Day;Day;3931,05099394756;0,497519349077198;0,503076007144275;0,709677419354839
Jordan;0,25;0,5;10000;30~1;no PCA;Day;Day;Day;3858,51344899406;0,497519349077198;0,503076007144275;0,67741935483871
Elman;0,25;0,5;10000;30~1;no PCA;Day;Day;Day;4618,17580646015;0,497320897003374;0,503076007144275;0,645161290322581
MLP;0,5;0,5;10000;30~1;no PCA;Day;Day;Day;2955,23710213639;0,499305417741615;0,503076007144275;0,67741935483871
Jordan;0,5;0,5;10000;30~1;no PCA;Day;Day;Day;2808,59451873735;0,498313157372495;0,503076007144275;0,709677419354839
Elman;0,5;0,5;10000;30~1;no PCA;Day;Day;Day;3711,24047431356;0,498511609446319;0,503076007144275;0,709677419354839
MLP;0,75;0,5;10000;30~1;no PCA;Day;Day;Day;2739,64513741221;0,497717801151022;0,503076007144275;0,709677419354839
Jordan;0,75;0,5;10000;30~1;no PCA;Day;Day;Day;2782,70321981052;0,498908513593967;0,503076007144275;0,709677419354839
Elman;0,75;0,5;10000;30~1;no PCA;Day;Day;Day;2451,11141445627;0,499702321889264;0,503076007144275;0,709677419354839
MLP;1;0,5;10000;30~1;no PCA;Day;Day;Day;2429,84842706368;0,49950386981544;0,503076007144275;0,709677419354839
Jordan;1;0,5;10000;30~1;no PCA;Day;Day;Day;2490,90828649197;0,498511609446319;0,503076007144275;0,67741935483871
Elman;1;0,5;10000;30~1;no PCA;Day;Day;Day;2652,06802188513;0,49950386981544;0,503076007144275;0,709677419354839
MLP;0,25;0,75;10000;30~1;no PCA;Day;Day;Day;4196,78376340428;0,497320897003374;0,503076007144275;0,645161290322581
Jordan;0,25;0,75;10000;30~1;no PCA;Day;Day;Day;4157,76700248373;0,497122444929549;0,503076007144275;0,67741935483871
Elman;0,25;0,75;10000;30~1;no PCA;Day;Day;Day;5043,19279897474;0,498710061520143;0,503076007144275;0,612903225806452
MLP;0,5;0,75;10000;30~1;no PCA;Day;Day;Day;3212,11028298795;0,497916253224846;0,503076007144275;0,67741935483871
Jordan;0,5;0,75;10000;30~1;no PCA;Day;Day;Day;3107,54745925758;0,499900773963088;0,503076007144275;0,67741935483871
Elman;0,5;0,75;10000;30~1;no PCA;Day;Day;Day;3347,88805035225;0,497916253224846;0,503076007144275;0,67741935483871
MLP;0,75;0,75;10000;30~1;no PCA;Day;Day;Day;2969,34377930977;0,497916253224846;0,503076007144275;0,67741935483871
Jordan;0,75;0,75;10000;30~1;no PCA;Day;Day;Day;2665,07304748879;0,50049613018456;0,503076007144275;0,741935483870968
Elman;0,75;0,75;10000;30~1;no PCA;Day;Day;Day;2697,12213962021;0,500297678110736;0,503076007144275;0,741935483870968
MLP;1;0,75;10000;30~1;no PCA;Day;Day;Day;2683,97993557101;0,499702321889264;0,503076007144275;0,741935483870968
Jordan;1;0,75;10000;30~1;no PCA;Day;Day;Day;2772,12746583567;0,498313157372495;0,503076007144275;0,645161290322581
Elman;1;0,75;10000;30~1;no PCA;Day;Day;Day;2250,81724303728;0,499702321889264;0,503076007144275;0,709677419354839
MLP;0,25;0;10000;5~1;no PCA;Day;Day;Day;2609,9508932334;0,497519349077198;0,503076007144275;0,774193548387097
Jordan;0,25;0;10000;5~1;no PCA;Day;Day;Day;2566,56696983785;0,49811470529867;0,503076007144275;0,774193548387097
Elman;0,25;0;10000;5~1;no PCA;Day;Day;Day;2635,24451909087;0,497916253224846;0,503076007144275;0,806451612903226
MLP;0,5;0;10000;5~1;no PCA;Day;Day;Day;2583,23146919036;0,497916253224846;0,503076007144275;0,774193548387097
Jordan;0,5;0;10000;5~1;no PCA;Day;Day;Day;2460,62408305788;0,49811470529867;0,503076007144275;0,806451612903226
Elman;0,5;0;10000;5~1;no PCA;Day;Day;Day;2456,51897365628;0,498313157372495;0,503076007144275;0,774193548387097
MLP;0,75;0;10000;5~1;no PCA;Day;Day;Day;2408,33375325316;0,49811470529867;0,503076007144275;0,774193548387097
Jordan;0,75;0;10000;5~1;no PCA;Day;Day;Day;2401,45388495376;0,500099226036912;0,503076007144275;0,806451612903226
Elman;0,75;0;10000;5~1;no PCA;Day;Day;Day;2382,20042010971;0,498908513593967;0,503076007144275;0,806451612903226
MLP;1;0;10000;5~1;no PCA;Day;Day;Day;2459,06889643324;0,49811470529867;0,503076007144275;0,774193548387097
Jordan;1;0;10000;5~1;no PCA;Day;Day;Day;2304,04715295136;0,498313157372495;0,503076007144275;0,741935483870968
Elman;1;0;10000;5~1;no PCA;Day;Day;Day;2379,48646358122;0,497717801151022;0,503076007144275;0,774193548387097
MLP;0,25;0,25;10000;5~1;no PCA;Day;Day;Day;2807,03021465444;0,498313157372495;0,503076007144275;0,67741935483871
Jordan;0,25;0,25;10000;5~1;no PCA;Day;Day;Day;2818,31597311607;0,498908513593967;0,503076007144275;0,709677419354839
Elman;0,25;0,25;10000;5~1;no PCA;Day;Day;Day;2863,61231795257;0,496725540781901;0,503076007144275;0,709677419354839
MLP;0,5;0,25;10000;5~1;no PCA;Day;Day;Day;2563,72716027295;0,499106965667791;0,503076007144275;0,709677419354839
Jordan;0,5;0,25;10000;5~1;no PCA;Day;Day;Day;2476,71579651654;0,497916253224846;0,503076007144275;0,741935483870968
Elman;0,5;0,25;10000;5~1;no PCA;Day;Day;Day;2585,40209041672;0,498710061520143;0,503076007144275;0,741935483870968
MLP;0,75;0,25;10000;5~1;no PCA;Day;Day;Day;2372,24226587788;0,500099226036912;0,503076007144275;0,709677419354839
Jordan;0,75;0,25;10000;5~1;no PCA;Day;Day;Day;2443,54225237214;0,497916253224846;0,503076007144275;0,741935483870968
Elman;0,75;0,25;10000;5~1;no PCA;Day;Day;Day;2339,81530464559;0,497916253224846;0,503076007144275;0,741935483870968
MLP;1;0,25;10000;5~1;no PCA;Day;Day;Day;2330,85945617528;0,498313157372495;0,503076007144275;0,709677419354839
Jordan;1;0,25;10000;5~1;no PCA;Day;Day;Day;2211,69031960925;0,501289938479857;0,503076007144275;0,709677419354839
Elman;1;0,25;10000;5~1;no PCA;Day;Day;Day;2122,88930769717;0,500893034332209;0,503076007144275;0,709677419354839
MLP;0,25;0,5;10000;5~1;no PCA;Day;Day;Day;3148,26672569882;0,497519349077198;0,503076007144275;0,67741935483871
Jordan;0,25;0,5;10000;5~1;no PCA;Day;Day;Day;3054,86705342391;0,498511609446319;0,503076007144275;0,709677419354839
Elman;0,25;0,5;10000;5~1;no PCA;Day;Day;Day;3004,27430967813;0,497519349077198;0,503076007144275;0,709677419354839
MLP;0,5;0,5;10000;5~1;no PCA;Day;Day;Day;2602,99339746648;0,498511609446319;0,503076007144275;0,67741935483871
Jordan;0,5;0,5;10000;5~1;no PCA;Day;Day;Day;2606,9225745841;0,499305417741615;0,503076007144275;0,709677419354839
Elman;0,5;0,5;10000;5~1;no PCA;Day;Day;Day;2555,4641969549;0,499305417741615;0,503076007144275;0,709677419354839
MLP;0,75;0,5;10000;5~1;no PCA;Day;Day;Day;2398,38511982176;0,49950386981544;0,503076007144275;0,709677419354839
Jordan;0,75;0,5;10000;5~1;no PCA;Day;Day;Day;2402,90229298802;0,499900773963088;0,503076007144275;0,741935483870968
Elman;0,75;0,5;10000;5~1;no PCA;Day;Day;Day;2454,46035293804;0,501091486406033;0,503076007144275;0,774193548387097
MLP;1;0,5;10000;5~1;no PCA;Day;Day;Day;2339,5230272978;0,499900773963088;0,503076007144275;0,709677419354839
Jordan;1;0,5;10000;5~1;no PCA;Day;Day;Day;2399,453417551;0,499702321889264;0,503076007144275;0,741935483870968
Elman;1;0,5;10000;5~1;no PCA;Day;Day;Day;2343,00699314381;0,498511609446319;0,503076007144275;0,67741935483871
MLP;0,25;0,75;10000;5~1;no PCA;Day;Day;Day;3364,64230794114;0,498313157372495;0,503076007144275;0,645161290322581
