User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-15 08:53:53
CalculationTime:;00:22:43
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;1;0;10000;30~30~1;40;Week;Day;Day;491,425834948136;0,496921549155909;0,502681231380338;0,935483870967742
Jordan;1;0;10000;30~30~1;40;Week;Day;Day;487,207555426543;0,497715988083416;0,502681231380338;0,903225806451613
Elman;1;0;10000;30~30~1;40;Week;Day;Day;358,366042441911;0,498311817279047;0,502681231380338;0,935483870967742
MLP;1;0;10000;30~30~1;50;Week;Day;Day;119,312157157551;0,499304865938431;0,502681231380338;1
Jordan;1;0;10000;30~30~1;50;Week;Day;Day;103,316969427605;0,497318768619662;0,502681231380338;0,967741935483871
Elman;1;0;10000;30~30~1;50;Week;Day;Day;121,045816709827;0,497318768619662;0,502681231380338;0,967741935483871
MLP;1;0;10000;30~30~1;no PCA;Week;Day;Day;428,436285058692;0,496325719960278;0,502681231380338;0,870967741935484
Jordan;1;0;10000;30~30~1;no PCA;Week;Day;Day;389,960115226236;0,493743793445879;0,502681231380338;0,903225806451613
Elman;1;0;10000;30~30~1;no PCA;Week;Day;Day;414,389631905185;0,495134061569017;0,502681231380338;0,903225806451613
